candidate_id	record_name	accession	start	end	codon_start	strand	gene	product	is_corrected	correction_offset	original_translation	assigned_orf
cand_0032	PX730404	PX730404.1	910	1492	1	1	unknown	hypothetical protein	False			unknown
cand_0033	PX730396	PX730396.1	589	1301	2	-1	unknown	hypothetical protein	False			unknown
cand_0034	PX730395	PX730395.1	430	2278	1	-1	unknown	hypothetical protein	False			unknown
cand_0035	PX730395	PX730395.1	3715	8038	1	-1	unknown	hypothetical protein	False			unknown
cand_0036	PX730243	PX730243.1	2101	2884	1	-1	unknown	hypothetical protein	False			unknown
cand_0037	PX221760	PX221760.1	0	2256	1	1	unknown	nonstructural polyprotein	False			1A
cand_0038	PX221757	PX221757.1	8	2765	1	1	unknown	nonstructural polyprotein	False			1A
cand_0039	PX221756	PX221756.1	8	2765	1	1	unknown	nonstructural polyprotein	False			1A
cand_0040	PV087402	PV087402.1	0	492	1	1	unknown	ORF1	False			1B
cand_0041	PV605202	PV605202.1	24	4242	1	1	ORF1	putative non-structural polyprotein	False			1B
cand_0042	PV605181	PV605181.1	11	2657	1	1	ORF1	putative ORF1a protein	False			1A
cand_0043	PV605181	PV605181.1	2569	4135	1	1	ORF3	putative ORF1b protein	False			1B
cand_0044	PV605168	PV605168.1	0	595	1	-1	ORF3	hypothetical protein	False			unknown
cand_0045	PV605168	PV605168.1	112	3688	1	1	ORF1	putative non-structural polyprotein	False			unknown
cand_0046	PV605161	PV605161.1	1917	4086	1	1	ORF1	putative non-structural protein	False			2
cand_0047	PV605151	PV605151.1	41	2624	1	1	ORF1	putative ORF1a protein	False			1A
cand_0048	PV605151	PV605151.1	2674	4072	1	1	ORF3	putative non-structural polyprotein	False			1B
cand_0049	PV418557	PV418557.1	59	2606	1	1	unknown	nonstructural protein	False			1A
cand_0050	PV418556	PV418556.1	0	2670	1	1	unknown	nonstructural protein	False			1A
cand_0051	PV418555	PV418555.1	0	2667	1	1	unknown	nonstructural protein	False			1A
cand_0052	PV418554	PV418554.1	0	2670	1	1	unknown	nonstructural protein	False			1A
cand_0053	PV418553	PV418553.1	0	2670	1	1	unknown	nonstructural protein	False			1A
cand_0054	PV418546	PV418546.1	0	2670	1	1	unknown	nonstructural protein	False			1A
cand_0055	PV418545	PV418545.1	0	735	1	1	unknown	nonstructural protein	False			1A
cand_0056	PX395425	PX395425.1	0	152	2	1	unknown	nonstructural polyprotein	False			unknown
cand_0057	PX395424	PX395424.1	0	276	3	1	unknown	nonstructural polyprotein	False			unknown
cand_0058	PX395423	PX395423.1	0	582	2	1	unknown	nonstructural polyprotein	False			1A
cand_0059	PX395422	PX395422.1	0	368	1	1	unknown	nonstructural polyprotein	False			1A
cand_0060	PX289198	PX289198.1	0	3273	1	1	unknown	hypothetical protein	False			1A
cand_0061	PX289198	PX289198.1	3527	4814	1	1	unknown	hypothetical protein	False			1B
cand_0062	PX289198	PX289198.1	4832	6947	1	1	unknown	hypothetical protein	False			2
cand_0063	PX289197	PX289197.1	0	3029	3	1	unknown	hypothetical protein	False			1A
cand_0064	PX289197	PX289197.1	3283	4570	1	1	unknown	hypothetical protein	False			1B
cand_0065	PX289197	PX289197.1	4588	6703	1	1	unknown	hypothetical protein	False			2
cand_0066	PX289196	PX289196.1	0	3029	3	1	unknown	hypothetical protein	False			1A
cand_0067	PX289196	PX289196.1	3283	4570	1	1	unknown	hypothetical protein	False			1B
cand_0068	PX289196	PX289196.1	4588	6703	1	1	unknown	hypothetical protein	False			2
cand_0069	PX095873	PX095873.1	1117	1249	1	-1	unknown	hypothetical protein	False			unknown
cand_0070	PX095817	PX095817.1	3906	7273	2	-1	unknown	nonstructural polyprotein	False			1A
cand_0071	PX095754	PX095754.1	0	1113	1	-1	unknown	hypothetical protein	False			1B
cand_0072	PX113254	PX113254.1	13	1296	1	1	unknown	polyprotein	False			1A
cand_0073	PV979748	PV979748.1	45	2490	1	-1	unknown	hypothetical protein	False			2
cand_0074	PQ421854	PQ421854.1	153	1935	1	-1	unknown	hypothetical protein	False			2
cand_0075	PQ421854	PQ421854.1	2095	3460	1	-1	unknown	hypothetical protein	False			1B
cand_0076	PQ421854	PQ421854.1	3750	6069	1	-1	unknown	hypothetical protein	False			1A
cand_0077	PQ421853	PQ421853.1	160	1951	1	-1	unknown	hypothetical protein	False			2
cand_0078	PQ421853	PQ421853.1	2111	3530	1	-1	unknown	hypothetical protein	False			1B
cand_0079	PQ421853	PQ421853.1	3766	6097	1	-1	unknown	hypothetical protein	False			1A
cand_0080	PQ421852	PQ421852.1	7	3376	1	-1	unknown	hypothetical protein	False			2
cand_0081	PQ421852	PQ421852.1	3612	5013	1	-1	unknown	hypothetical protein	False			1A
cand_0082	PQ421851	PQ421851.1	76	1135	1	1	unknown	hypothetical protein	False			1B
cand_0083	PQ421850	PQ421850.1	133	2836	1	1	unknown	hypothetical protein	False			1A
cand_0084	PQ421850	PQ421850.1	4300	6469	1	1	unknown	hypothetical protein	False			2
cand_0085	PQ421849	PQ421849.1	355	2491	1	1	unknown	hypothetical protein	False			1A
cand_0086	PQ421849	PQ421849.1	4013	6143	1	1	unknown	hypothetical protein	False			2
cand_0087	PQ421848	PQ421848.1	3	2334	1	1	unknown	hypothetical protein	False			1A
cand_0088	PQ421848	PQ421848.1	2624	3989	1	1	unknown	hypothetical protein	False			1B
cand_0089	PQ421848	PQ421848.1	4149	5940	1	1	unknown	hypothetical protein	False			2
cand_0090	PQ421847	PQ421847.1	152	1943	1	-1	unknown	hypothetical protein	False			2
cand_0091	PQ421847	PQ421847.1	2103	3309	1	-1	unknown	hypothetical protein	False			1B
cand_0092	PQ421847	PQ421847.1	3268	3469	1	-1	unknown	hypothetical protein	False			unknown
cand_0093	PQ421847	PQ421847.1	3759	6090	1	-1	unknown	hypothetical protein	False			1A
cand_0094	PQ421846	PQ421846.1	160	1942	1	-1	unknown	hypothetical protein	False			2
cand_0095	PQ421846	PQ421846.1	2102	3467	1	-1	unknown	hypothetical protein	False			1B
cand_0096	PQ421846	PQ421846.1	3757	6082	1	-1	unknown	hypothetical protein	False			1A
cand_0097	PQ421845	PQ421845.1	158	1940	1	-1	unknown	hypothetical protein	False			2
cand_0098	PQ421845	PQ421845.1	2100	3465	1	-1	unknown	hypothetical protein	False			1B
cand_0099	PQ421845	PQ421845.1	3755	6080	1	-1	unknown	hypothetical protein	False			1A
cand_0100	PQ421844	PQ421844.1	159	1941	1	-1	unknown	hypothetical protein	False			2
cand_0101	PQ421844	PQ421844.1	2101	3466	1	-1	unknown	hypothetical protein	False			1B
cand_0102	PQ421844	PQ421844.1	3756	5979	1	-1	unknown	hypothetical protein	False			1A
cand_0103	PQ421843	PQ421843.1	5	2333	1	1	unknown	hypothetical protein	False			1A
cand_0104	PQ421843	PQ421843.1	2623	3988	1	1	unknown	hypothetical protein	False			1B
cand_0105	PQ421843	PQ421843.1	4145	5924	1	1	unknown	hypothetical protein	False			2
cand_0106	PQ421842	PQ421842.1	152	1931	1	-1	unknown	hypothetical protein	False			2
cand_0107	PQ421842	PQ421842.1	2088	3453	1	-1	unknown	hypothetical protein	False			1B
cand_0108	PQ421842	PQ421842.1	3743	5969	1	-1	unknown	hypothetical protein	False			1A
cand_0109	PQ421841	PQ421841.1	355	1525	1	1	unknown	hypothetical protein	False			unknown
cand_0110	PQ421841	PQ421841.1	1563	3051	1	1	unknown	hypothetical protein	False			1B
cand_0111	PV843273	PV843273.1	0	2664	1	1	unknown	peptidase S39	False			1A
cand_0112	PP211426	PP211426.1	31	4261	1	1	unknown	non-structural polyprotein	False			1B
cand_0113	PP211349	PP211349.1	1	3673	1	1	unknown	non-structural polyprotein	False			unknown
cand_0114	PP211348	PP211348.1	333	3627	1	1	unknown	non-structural polyprotein	False			unknown
cand_0115	PP211347	PP211347.1	2	3674	1	1	unknown	non-structural polyprotein	False			unknown
cand_0116	PP211346	PP211346.1	1	3673	1	1	unknown	non-structural polyprotein	False			unknown
cand_0117	PP211345	PP211345.1	1	3673	1	1	unknown	non-structural polyprotein	False			1B
cand_0118	PP211344	PP211344.1	2	3677	1	1	unknown	non-structural polyprotein	False			1B
cand_0119	PP211343	PP211343.1	3	3678	1	1	unknown	non-structural polyprotein	False			unknown
cand_0120	PP211223	PP211223.1	0	2935	2	1	unknown	non-structural polyprotein	False			unknown
cand_0121	PP211222	PP211222.1	0	1330	2	1	unknown	non-structural polyprotein	False			1B
cand_0122	PP211221	PP211221.1	0	2065	2	1	unknown	non-structural polyprotein	False			1B
cand_0123	PV351774	PV351774.1	45	2490	1	-1	unknown	hypothetical protein	False			2
cand_0124	PV351773	PV351773.1	4064	6401	1	1	unknown	hypothetical protein	False			2
cand_0125	PV351772	PV351772.1	105	2640	1	-1	unknown	hypothetical protein	False			2
cand_0126	PV351771	PV351771.1	4179	6738	1	1	unknown	hypothetical protein	False			2
cand_0127	PV351770	PV351770.1	3743	6188	1	1	unknown	hypothetical protein	False			2
cand_0128	PQ541169	PQ541169.1	0	3718	2	1	unknown	non-structural polyprotein	False			unknown
cand_0129	PQ150499	PQ150499.1	426	6450	1	1	unknown	hypothetical protein	False			unknown
cand_0130	PQ150499	PQ150499.1	6710	7265	1	1	unknown	hypothetical protein	False			unknown
cand_0131	PQ678015	PQ678015.1	36	2832	1	1	unknown	nonstructural protein	False			1A
cand_0132	PQ678014	PQ678014.1	38	2705	1	1	unknown	nonstructural polyprotein	False			1A
cand_0133	PQ678014	PQ678014.1	3361	4153	1	1	unknown	nonstructural protein	False			1B
cand_0134	PQ678013	PQ678013.1	3013	4111	1	1	unknown	nonstructural protein	False			1B
cand_0135	PQ678010	PQ678010.1	2726	4160	1	1	unknown	nonstructural protein	False			1B
cand_0136	PQ678008	PQ678008.1	3435	4227	1	1	unknown	nonstructural polyprotein	False			1B
cand_0137	PQ678007	PQ678007.1	2739	4173	1	1	unknown	nonstructural protein	False			1B
cand_0138	PQ622678	PQ622678.1	13	7699	1	1	unknown	hypothetical protein	False			1A
cand_0139	PQ622678	PQ622678.1	10331	11087	1	1	unknown	hypothetical protein	False			unknown
cand_0140	PQ622678	PQ622678.1	10980	13590	1	1	unknown	hypothetical protein	False			unknown
cand_0141	PQ622677	PQ622677.1	37	7696	1	1	unknown	hypothetical protein	False			1A
cand_0142	PQ622677	PQ622677.1	10328	11090	1	1	unknown	hypothetical protein	False			unknown
cand_0143	PQ622677	PQ622677.1	10983	13593	1	1	unknown	hypothetical protein	False			unknown
cand_0144	OQ835730	OQ835730.1	0	4190	3	1	unknown	non-structural polyprotein	False			unknown
cand_0145	OQ835730	OQ835730.1	5297	5535	1	1	unknown	hypothetical protein	False			unknown
cand_0146	OQ835729	OQ835729.1	79	4303	1	1	unknown	non-structural polyprotein	False			1B
cand_0147	OQ835729	OQ835729.1	5410	5752	1	1	unknown	hypothetical protein	False			unknown
cand_0148	PQ530056	PQ530056.1	0	4268	1	1	unknown	nonstructural protein	False			1A
cand_0149	LC849230	LC849230.1	36	4266	1	1	unknown	non-structural polyprotein	False			1B
cand_0150	LC849229	LC849229.1	36	4266	1	1	unknown	non-structural polyprotein	False			1B
cand_0151	LC849228	LC849228.1	36	4266	1	1	unknown	non-structural polyprotein	False			1B
cand_0152	PQ161557	PQ161557.1	30	4254	1	1	unknown	hypothetical protein	False			1B
cand_0153	PQ161557	PQ161557.1	4279	5332	1	1	unknown	hypothetical protein	False			unknown
cand_0154	PQ161557	PQ161557.1	5361	5667	1	1	unknown	hypothetical protein	False			unknown
cand_0155	PQ055539	PQ055539.1	93	1074	1	1	unknown	putative peptidase	False			1A
cand_0156	PQ055539	PQ055539.1	2765	3848	1	1	unknown	hypothetical protein	False			unknown
cand_0157	PQ055538	PQ055538.1	6	3072	1	1	unknown	putative peptidase	False			1A
cand_0158	PQ055537	PQ055537.1	99	1848	1	1	unknown	hypothetical protein	False			unknown
cand_0159	PQ055537	PQ055537.1	3566	4964	1	1	unknown	hypothetical protein	False			unknown
cand_0160	PQ055536	PQ055536.1	11	1988	1	1	unknown	putative peptidase	False			1A
cand_0161	PQ055536	PQ055536.1	3576	5322	1	1	unknown	putative viral coat protein	False			unknown
cand_0162	PQ055535	PQ055535.1	14	2306	1	1	unknown	putative peptidase	False			1A
cand_0163	PQ055535	PQ055535.1	3938	5159	1	1	unknown	hypothetical protein	False			unknown
cand_0164	PQ055534	PQ055534.1	4043	4949	1	1	unknown	hypothetical protein	False			unknown
cand_0165	PQ055533	PQ055533.1	88	2068	1	1	unknown	hypothetical protein	False			unknown
cand_0166	PQ055533	PQ055533.1	3691	5212	1	1	unknown	hypothetical protein	False			unknown
cand_0167	PQ055532	PQ055532.1	101	2342	1	1	unknown	hypothetical protein	False			unknown
cand_0168	PQ055532	PQ055532.1	4139	5543	1	1	unknown	hypothetical protein	False			unknown
cand_0169	PQ055531	PQ055531.1	9	2055	1	1	unknown	putative peptidase	False			1A
cand_0170	PQ055530	PQ055530.1	13	784	1	1	unknown	hypothetical protein	False			unknown
cand_0171	PQ055530	PQ055530.1	2473	4705	1	1	unknown	hypothetical protein	False			unknown
cand_0172	PQ055529	PQ055529.1	67	4477	1	1	unknown	hypothetical protein	False			unknown
cand_0173	PQ055528	PQ055528.1	50	2909	1	1	unknown	putative peptidase	False			unknown
cand_0174	PQ055528	PQ055528.1	4556	6113	1	1	unknown	putative viral coat protein	False			unknown
cand_0175	PQ055527	PQ055527.1	23	6293	1	1	unknown	polyprotein	False			1B
cand_0176	PQ055526	PQ055526.1	18	1629	1	1	unknown	hypothetical protein	False			unknown
cand_0177	PQ055526	PQ055526.1	4292	5939	1	1	unknown	putative viral coat protein	False			unknown
cand_0178	PQ055524	PQ055524.1	8	3545	1	1	unknown	putative peptidase	False			unknown
cand_0179	PQ055524	PQ055524.1	5243	6668	1	1	unknown	hypothetical protein	False			unknown
cand_0180	PQ055524	PQ055524.1	6688	7927	1	1	unknown	hypothetical protein	False			unknown
cand_0181	PQ055523	PQ055523.1	65	4283	1	1	unknown	polyprotein	False			1B
cand_0182	PQ055521	PQ055521.1	3	1989	1	1	unknown	polyprotein	False			1B
cand_0183	PP272615	PP272615.1	45	4275	1	1	unknown	non-structural polyprotein	False			1B
cand_0184	PP272491	PP272491.1	35	4265	1	1	unknown	non-structural polyprotein	False			1B
cand_0185	PP272490	PP272490.1	52	4282	1	1	unknown	non-structural polyprotein	False			1B
cand_0186	PP272489	PP272489.1	41	4271	1	1	unknown	non-structural polyprotein	False			1B
cand_0187	PP272488	PP272488.1	40	4270	1	1	unknown	non-structural polyprotein	False			1B
cand_0188	PP272487	PP272487.1	31	4261	1	1	unknown	non-structural polyprotein	False			1B
cand_0189	PP272486	PP272486.1	145	4375	1	1	unknown	non-structural polyprotein	False			1B
cand_0190	OM104033	OM104033.1	253	3763	1	1	unknown	nonstructural polyprotein	False			unknown
cand_0191	OM104031	OM104031.1	0	2402	3	1	unknown	nonstructural protein	False			1A
cand_0192	PQ037214	PQ037214.1	56	3311	1	1	unknown	non-structural polyprotein	False			1A
cand_0193	PP999617	PP999617.1	7	3805	1	1	ORF1	nonstructural protein 1	False			unknown
cand_0194	PP999617	PP999617.1	3699	4293	1	1	ORF4	putative protein	False			unknown
cand_0195	PP999617	PP999617.1	5600	5936	1	1	ORF3A	putative protein	False			unknown
cand_0196	PP999617	PP999617.1	5646	5910	1	1	ORF3B	putative protein	False			unknown
cand_0197	PP999616	PP999616.1	24	3822	1	1	ORF1	nonstructural protein 1	False			unknown
cand_0198	PP999616	PP999616.1	3716	4304	1	1	ORF4	putative protein	False			unknown
cand_0199	PP999616	PP999616.1	5616	5952	1	1	ORF3A	putative protein	False			unknown
cand_0200	PP999616	PP999616.1	5662	5926	1	1	ORF3B	putative protein	False			unknown
cand_0201	PP174099	PP174099.1	1530	2273	3	-1	unknown	hypothetical protein	False			unknown
cand_0202	PP174089	PP174089.1	1397	2093	1	-1	unknown	hypothetical protein	False			1A
cand_0203	PP174052	PP174052.1	43	1492	1	1	unknown	hypothetical protein	False			unknown
cand_0204	PP174052	PP174052.1	3207	4965	1	1	unknown	hypothetical protein	False			unknown
cand_0205	PP174037	PP174037.1	6	1083	1	-1	unknown	hypothetical protein	False			unknown
cand_0206	PP173978	PP173978.1	2260	4018	1	1	unknown	hypothetical protein	False			unknown
cand_0207	PP173959	PP173959.1	0	3161	3	1	unknown	hypothetical protein	False			unknown
cand_0208	PP173952	PP173952.1	62	1511	1	-1	unknown	hypothetical protein	False			unknown
cand_0209	PP173952	PP173952.1	3074	4847	1	-1	unknown	hypothetical protein	False			unknown
cand_0210	PP173914	PP173914.1	1530	2775	1	-1	unknown	hypothetical protein	False			unknown
cand_0211	PP173905	PP173905.1	2820	3762	1	-1	unknown	hypothetical protein	False			1A
cand_0212	PP173621	PP173621.1	1204	2500	1	-1	unknown	hypothetical protein	False			unknown
cand_0213	PP173619	PP173619.1	1605	4200	1	-1	unknown	hypothetical protein	False			1A
cand_0214	PP173590	PP173590.1	64	1174	1	1	unknown	hypothetical protein	False			unknown
cand_0215	PP173384	PP173384.1	3237	6540	1	-1	unknown	hypothetical protein	False			1A
cand_0216	PP173376	PP173376.1	1419	1989	1	-1	unknown	hypothetical protein	False			unknown
cand_0217	PP173284	PP173284.1	13	1240	1	1	unknown	hypothetical protein	False			unknown
cand_0218	PP173191	PP173191.1	3161	6278	1	-1	unknown	hypothetical protein	False			1A
cand_0219	PP173172	PP173172.1	2137	2902	1	-1	unknown	hypothetical protein	False			1A
cand_0220	PP173125	PP173125.1	1658	2018	1	-1	unknown	hypothetical protein	False			1A
cand_0221	PP172939	PP172939.1	1597	3016	1	-1	unknown	hypothetical protein	False			1A
cand_0222	PP172792	PP172792.1	3116	4772	1	-1	unknown	hypothetical protein	False			1A
cand_0223	PP172252	PP172252.1	3891	6693	1	-1	unknown	hypothetical protein	False			unknown
cand_0224	PP172252	PP172252.1	6693	7365	1	-1	unknown	hypothetical protein	False			unknown
cand_0225	PP172159	PP172159.1	1582	4477	1	-1	unknown	hypothetical protein	False			unknown
cand_0226	PP172009	PP172009.1	57	2118	1	1	unknown	hypothetical protein	False			unknown
cand_0227	PP172009	PP172009.1	2135	3698	1	1	unknown	nonstructural protein	False			1A
cand_0228	PP171968	PP171968.1	37	721	1	1	unknown	hypothetical protein	False			1A
cand_0229	PP171953	PP171953.1	14	3992	1	1	unknown	hypothetical protein	False			1A
cand_0230	PP171789	PP171789.1	8	1571	1	1	unknown	hypothetical protein	False			unknown
cand_0231	BK066576	BK066576.1	8188	8431	1	1	unknown	Parboid	False			unknown
cand_0232	BK066576	BK066576.1	8475	8793	1	1	unknown	Chitsmem	False			unknown
cand_0233	BK066576	BK066576.1	8773	9034	1	1	unknown	P6447	False			unknown
cand_0234	BK066576	BK066576.1	8984	10382	1	1	unknown	Env	False			unknown
cand_0235	BK066576	BK066576.1	10174	10411	1	1	unknown	Linhib	False			unknown
cand_0236	PP228886	PP228886.1	9	4559	1	1	unknown	non-structural polyprotein	False			1B
cand_0237	PP228885	PP228885.1	6	4556	1	1	unknown	non-structural polyprotein	False			1B
cand_0238	OR800329	OR800329.1	27	306	1	1	unknown	nonstructural protein	False			unknown
cand_0239	OR800329	OR800329.1	843	1023	1	1	unknown	nonstructural protein	False			1B
cand_0240	OR645486	OR645486.1	0	572	2	1	unknown	non-structural polyprotein	False			1B
cand_0241	OR270284	OR270284.1	329	890	1	1	unknown	hypothetical protein	False			unknown
cand_0242	OR270284	OR270284.1	1865	2375	1	1	unknown	hypothetical protein	False			unknown
cand_0243	OQ986679	OQ986679.1	2648	4040	1	1	unknown	nonstructural protein	False			1B
cand_0244	OQ986609	OQ986609.1	2490	3900	1	-1	unknown	nonstructural protein	False			1B
cand_0245	OQ986608	OQ986608.1	2732	4127	1	1	unknown	nonstructural protein	False			1B
cand_0246	OQ986607	OQ986607.1	2701	4216	1	1	unknown	nonstructural protein	False			1B
cand_0247	OR613306	OR613306.1	0	1000	2	1	unknown	ORF1	False			1B
cand_0248	OQ802763	OQ802763.1	0	1697	2	1	unknown	nonstructural polyprotein	False			1B
cand_0249	OQ802762	OQ802762.1	0	1699	2	1	unknown	nonstructural polyprotein	False			1B
cand_0250	OQ802761	OQ802761.1	74	4484	1	1	unknown	nonstructural polyprotein	False			unknown
cand_0251	OQ802760	OQ802760.1	11	5438	1	1	unknown	nonstructural polyprotein	False			1B
cand_0252	OQ802760	OQ802760.1	8026	8668	1	1	unknown	ORF3 protein	False			unknown
cand_0253	OQ802757	OQ802757.1	0	564	2	1	unknown	nonstructural polyprotein	False			1B
cand_0254	OQ802756	OQ802756.1	23	4139	1	1	unknown	nonstructural polyprotein	False			1B
cand_0255	OQ802732	OQ802732.1	0	1195	2	1	unknown	nonstructural polyprotein	False			1B
cand_0256	OQ802731	OQ802731.1	0	527	3	1	unknown	nonstructural polyprotein	False			unknown
cand_0257	OQ802730	OQ802730.1	84	3759	1	1	unknown	nonstructural polyprotein	False			1B
cand_0258	OQ802729	OQ802729.1	3	3675	1	1	unknown	nonstructural polyprotein	False			unknown
cand_0259	OQ802714	OQ802714.1	0	481	2	1	unknown	nonstructural polyprotein	False			unknown
cand_0260	OQ802713	OQ802713.1	38	4283	1	1	unknown	nonstructural polyprotein	False			1B
cand_0261	OQ802697	OQ802697.1	98	5597	1	1	unknown	hypothetical protein	False			unknown
cand_0262	OQ802697	OQ802697.1	7823	8420	1	1	unknown	hypothetical protein	False			unknown
cand_0263	OQ802697	OQ802697.1	8416	11440	1	1	unknown	hypothetical protein	False			unknown
cand_0264	OR439362	OR439362.1	74	4298	1	1	unknown	nonstructural protein	False			1B
cand_0265	OR552431	OR552431.1	0	3675	1	1	unknown	non-structural polyprotein	False			unknown
cand_0266	OR552430	OR552430.1	0	3676	2	1	unknown	non-structural polyprotein	False			unknown
cand_0267	OR234613	OR234613.1	0	1542	1	1	unknown	hypothetical protein	False			1B
cand_0268	OR234607	OR234607.1	0	1551	1	1	unknown	hypothetical protein	False			1B
cand_0269	OQ870553	OQ870553.1	13	4572	1	1	unknown	non-structural polyprotein	False			1B
cand_0270	OQ709194	OQ709194.1	58	1159	1	1	unknown	polyprotein	False			1B
cand_0271	OQ709193	OQ709193.1	516	7025	1	1	unknown	polyprotein	False			1B
cand_0272	OQ709192	OQ709192.1	79	1588	1	1	unknown	polyprotein	False			1B
cand_0273	OQ709191	OQ709191.1	201	6465	1	1	unknown	polyprotein	False			1B
cand_0274	OQ709190	OQ709190.1	88	2369	1	1	unknown	polyprotein	False			1B
cand_0275	OQ709189	OQ709189.1	300	2922	1	1	unknown	polyprotein	False			1B
cand_0276	OQ709188	OQ709188.1	161	1621	1	1	unknown	polyprotein	False			1B
cand_0277	OQ076692	OQ076692.1	22	3304	1	1	unknown	non-structural polyprotein	False			1A
cand_0278	OP764611	OP764611.1	56	3311	1	1	unknown	non-structural polyprotein	False			1A
cand_0279	OQ599876	OQ599876.1	0	4238	3	1	unknown	non-structural polyprotein	False			1B
cand_0280	OP094602	OP094602.1	0	2557	2	1	unknown	nonstructural protein	False			1A
cand_0281	ON982163	ON982163.1	400	3766	1	1	unknown	hypothetical protein	False			1A
cand_0282	ON807318	ON807318.1	0	2766	1	1	unknown	ORF1	False			1A
cand_0283	ON932807	ON932807.1	0	1372	1	1	unknown	nonstructural polyprotein	False			1B
cand_0284	ON932806	ON932806.1	0	3870	1	1	unknown	nonstructural polyprotein	False			1B
cand_0285	ON932805	ON932805.1	0	1467	1	1	unknown	nonstructural polyprotein	False			1B
cand_0286	OQ198050	OQ198050.1	620	4183	1	1	unknown	polyprotein	False			1B
cand_0287	OQ198047	OQ198047.1	200	3389	1	1	unknown	nonstructural protein	False			1A
cand_0288	OQ198045	OQ198045.1	18	2736	1	1	unknown	nonstructural protein	False			1A
cand_0289	OQ198041	OQ198041.1	178	2935	1	1	unknown	nonstructural protein	False			1A
cand_0290	OQ198040	OQ198040.1	5	2762	1	1	unknown	nonstructural protein	False			1A
cand_0291	OQ198039	OQ198039.1	44	2762	1	1	unknown	nonstructural protein	False			1A
cand_0292	OQ198038	OQ198038.1	1363	4120	1	1	unknown	nonstructural protein	False			1A
cand_0293	OQ198035	OQ198035.1	213	2931	1	1	unknown	nonstructural protein	False			1A
cand_0294	OM469245	OM469245.1	17	3437	1	1	unknown	non-structural polyprotein	False			1A
cand_0295	OM469244	OM469244.1	30	3450	1	1	unknown	non-structural polyprotein	False			1A
cand_0296	OM469243	OM469243.1	0	2287	2	1	unknown	non-structural polyprotein	False			1A
cand_0297	OM469242	OM469242.1	21	3441	1	1	unknown	non-structural polyprotein	False			1A
cand_0298	OM469241	OM469241.1	0	422	3	1	unknown	non-structural polyprotein	False			unknown
cand_0299	OM469240	OM469240.1	22	3442	1	1	unknown	non-structural polyprotein	False			1A
