ID;Version;GenBank title;Release date;Organism name;Virus Lineage;Species;Family;Length;Submitters;Strain;Isolate;Geo location;Country;Collection date;Tissue/Specimen/Source;Host;Environmental;CDS count;Artificial;UNVERIFIED;1A;1A-strand;1B;1B-strand;2;2-strand;Host class;Species_ICTV
PV418549;PV418549.1;Canine astrovirus isolate CaAstV/Dog/AUS/c_hopevale_4/2021 capsid protein gene, partial cds;08-OCT-2025;Canine astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus";;Astroviridae;2227.0;Mifsud,J.C.O., Harvey,E., Van Brussel,K., Olsson,A., Pitcher,B.J., Hall,J., Fenton,H., Alting,B.F., Sadiq,S. and Holmes,E.C.;;CaAstV/Dog/AUS/c_hopevale_4/2021;Australia: Hope Vale;;Dec-2021;rectal swab;Canis lupus familiaris;No;1.0;No;No;NA-NA;;NA-NA;;1-2227;1.0;Mammalia;
PV418546;PV418546.1;"Canine astrovirus isolate CaAstV/Dog/AUS/2_hopevale_4/2021 nonstructural protein gene, complete cds; and RNA-dependent RNA polymerase gene, partial cds";08-OCT-2025;Canine astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus";;Astroviridae;4175.0;Mifsud,J.C.O., Harvey,E., Van Brussel,K., Olsson,A., Pitcher,B.J., Hall,J., Fenton,H., Alting,B.F., Sadiq,S. and Holmes,E.C.;;CaAstV/Dog/AUS/2_hopevale_4/2021;Australia: Hope Vale;;Dec-2021;rectal swab;Canis lupus familiaris;No;2.0;No;No;0-2670;1.0;2621-4157;1.0;NA-NA;;Mammalia;
PV418545;PV418545.1;Canine astrovirus isolate CaAstV/Dog/AUS/1_hopevale_4/2021 nonstructural protein and RNA-dependent RNA polymerase genes, partial cds;08-OCT-2025;Canine astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus";;Astroviridae;2070.0;Mifsud,J.C.O., Harvey,E., Van Brussel,K., Olsson,A., Pitcher,B.J., Hall,J., Fenton,H., Alting,B.F., Sadiq,S. and Holmes,E.C.;;CaAstV/Dog/AUS/1_hopevale_4/2021;Australia: Hope Vale;;Dec-2021;rectal swab;Canis lupus familiaris;No;2.0;No;No;0-735;1.0;686-2070;1.0;NA-NA;;Mammalia;
PX395426;PX395426.1;Chicken astrovirus strain CAst/Bayern/2024 isolate Contig-13 nonstructural polyprotein gene, partial cds;05-OCT-2025;Chicken astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus";;Astroviridae;112.0;Moharam,I., El-Mayet,F.S., Najar,F.Z., Bruggemann,J., Schmitt,F., Schade,B. and Bohm,B.;CAst/Bayern/2024;Contig-13;Germany: Bavaria;;Feb-2024;cecal tonsils;chicken (broiler);No;1.0;No;No;;;;;;;Aves;
PX395425;PX395425.1;Chicken astrovirus strain CAst/Bayern/2024 isolate Contig-12 nonstructural polyprotein gene, partial cds;05-OCT-2025;Chicken astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus";;Astroviridae;152.0;Moharam,I., El-Mayet,F.S., Najar,F.Z., Bruggemann,J., Schmitt,F., Schade,B. and Bohm,B.;CAst/Bayern/2024;Contig-12;Germany: Bavaria;;Feb-2024;cecal tonsils;chicken (broiler);No;1.0;No;No;NA-NA;;NA-NA;;NA-NA;;Aves;
PX395424;PX395424.1;Chicken astrovirus strain CAst/Bayern/2024 isolate Contig-11 nonstructural polyprotein gene, partial cds;05-OCT-2025;Chicken astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus";;Astroviridae;276.0;Moharam,I., El-Mayet,F.S., Najar,F.Z., Bruggemann,J., Schmitt,F., Schade,B. and Bohm,B.;CAst/Bayern/2024;Contig-11;Germany: Bavaria;;Feb-2024;cecal tonsils;chicken (broiler);No;1.0;No;No;2-276;1.0;NA-NA;;NA-NA;;Aves;
PX395423;PX395423.1;Chicken astrovirus strain CAst/Bayern/2024 isolate Contig-10 nonstructural polyprotein gene, partial cds;05-OCT-2025;Chicken astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus";;Astroviridae;582.0;Moharam,I., El-Mayet,F.S., Najar,F.Z., Bruggemann,J., Schmitt,F., Schade,B. and Bohm,B.;CAst/Bayern/2024;Contig-10;Germany: Bavaria;;Feb-2024;cecal tonsils;chicken (broiler);No;1.0;No;No;1-582;1.0;NA-NA;;NA-NA;;Aves;
PX395422;PX395422.1;Chicken astrovirus strain CAst/Bayern/2024 isolate Contig-9 nonstructural polyprotein gene, partial cds;05-OCT-2025;Chicken astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus";;Astroviridae;368.0;Moharam,I., El-Mayet,F.S., Najar,F.Z., Bruggemann,J., Schmitt,F., Schade,B. and Bohm,B.;CAst/Bayern/2024;Contig-9;Germany: Bavaria;;Feb-2024;cecal tonsils;chicken (broiler);No;1.0;No;No;0-368;1.0;NA-NA;;NA-NA;;Aves;
PX395421;PX395421.1;Chicken astrovirus strain CAst/Bayern/2024 isolate Contig-8 RNA polymerase gene, partial cds;05-OCT-2025;Chicken astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus";;Astroviridae;291.0;Moharam,I., El-Mayet,F.S., Najar,F.Z., Bruggemann,J., Schmitt,F., Schade,B. and Bohm,B.;CAst/Bayern/2024;Contig-8;Germany: Bavaria;;Feb-2024;cecal tonsils;chicken (broiler);No;1.0;No;No;NA-NA;;0-291;1.0;NA-NA;;Aves;
PX395420;PX395420.1;Chicken astrovirus strain CAst/Bayern/2024 isolate Contig-7 RNA polymerase gene, partial cds;05-OCT-2025;Chicken astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus";;Astroviridae;283.0;Moharam,I., El-Mayet,F.S., Najar,F.Z., Bruggemann,J., Schmitt,F., Schade,B. and Bohm,B.;CAst/Bayern/2024;Contig-7;Germany: Bavaria;;Feb-2024;cecal tonsils;chicken (broiler);No;1.0;No;No;NA-NA;;0-283;1.0;NA-NA;;Aves;
PX395419;PX395419.1;Chicken astrovirus strain CAst/Bayern/2024 isolate Contig-6 RNA polymerase gene, partial cds;05-OCT-2025;Chicken astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus";;Astroviridae;238.0;Moharam,I., El-Mayet,F.S., Najar,F.Z., Bruggemann,J., Schmitt,F., Schade,B. and Bohm,B.;CAst/Bayern/2024;Contig-6;Germany: Bavaria;;Feb-2024;cecal tonsils;chicken (broiler);No;1.0;No;No;NA-NA;;2-238;1.0;NA-NA;;Aves;
PX395418;PX395418.1;Chicken astrovirus strain CAst/Bayern/2024 isolate Contig-5 RNA polymerase and capsid precursor protein genes, partial cds;05-OCT-2025;Chicken astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus";;Astroviridae;189.0;Moharam,I., El-Mayet,F.S., Najar,F.Z., Bruggemann,J., Schmitt,F., Schade,B. and Bohm,B.;CAst/Bayern/2024;Contig-5;Germany: Bavaria;;Feb-2024;cecal tonsils;chicken (broiler);No;2.0;No;No;NA-NA;;0-123;1.0;147-189;1.0;Aves;
PX395417;PX395417.1;Chicken astrovirus strain CAst/Bayern/2024 isolate Contig-3 capsid precursor protein gene, partial cds;05-OCT-2025;Chicken astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus";;Astroviridae;152.0;Moharam,I., El-Mayet,F.S., Najar,F.Z., Bruggemann,J., Schmitt,F., Schade,B. and Bohm,B.;CAst/Bayern/2024;Contig-3;Germany: Bavaria;;Feb-2024;cecal tonsils;chicken (broiler);No;1.0;No;No;NA-NA;;NA-NA;;0-152;1.0;Aves;
PX395416;PX395416.1;Chicken astrovirus strain CAst/Bayern/2024 isolate Contig-2 capsid precursor protein gene, partial cds;05-OCT-2025;Chicken astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus";;Astroviridae;122.0;Moharam,I., El-Mayet,F.S., Najar,F.Z., Bruggemann,J., Schmitt,F., Schade,B. and Bohm,B.;CAst/Bayern/2024;Contig-2;Germany: Bavaria;;Feb-2024;cecal tonsils;chicken (broiler);No;1.0;No;No;NA-NA;;NA-NA;;0-122;1.0;Aves;
PX395415;PX395415.1;Chicken astrovirus strain CAst/Bayern/2024 isolate Contig-1 capsid precursor protein gene, partial cds;05-OCT-2025;Chicken astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus";;Astroviridae;233.0;Moharam,I., El-Mayet,F.S., Najar,F.Z., Bruggemann,J., Schmitt,F., Schade,B. and Bohm,B.;CAst/Bayern/2024;Contig-1;Germany: Bavaria;;Feb-2024;cecal tonsils;chicken (broiler);No;1.0;No;No;NA-NA;;NA-NA;;0-153;1.0;Aves;
PX378139;PX378139.1;Astrovirus MLB2 isolate CMH-SS032-24/THA RNA-dependent RNA polymerase and capsid protein genes, partial cds;30-SEP-2025;Astrovirus MLB2;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae";;Astroviridae;859.0;Kumthip,K., Khamrin,P. and Maneekarn,N.;;CMH-SS032-24/THA;Thailand;;13-Mar-2024;stool;Homo sapiens;No;2.0;No;No;NA-NA;;0-690;1.0;682-859;1.0;Mammalia;
PX378138;PX378138.1;Astrovirus MLB2 isolate CMH-SS021-23/THA RNA-dependent RNA polymerase and capsid protein genes, partial cds;30-SEP-2025;Astrovirus MLB2;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae";;Astroviridae;859.0;Kumthip,K., Khamrin,P. and Maneekarn,N.;;CMH-SS021-23/THA;Thailand;;15-Feb-2023;stool;Homo sapiens;No;2.0;No;No;NA-NA;;0-690;1.0;682-859;1.0;Mammalia;
PX378137;PX378137.1;Astrovirus MLB1 isolate CMH-ST070-23/THA RNA-dependent RNA polymerase and capsid protein genes, partial cds;30-SEP-2025;Astrovirus MLB1;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus melbournense";Mamastrovirus melbournense;Astroviridae;859.0;Kumthip,K., Khamrin,P. and Maneekarn,N.;;CMH-ST070-23/THA;Thailand;;03-Aug-2023;stool;Homo sapiens;No;2.0;No;No;NA-NA;;0-690;1.0;682-859;1.0;Mammalia;
PX378136;PX378136.1;Human astrovirus 5 isolate CMH-SS007-23/THA RNA-dependent RNA polymerase and capsid protein genes, partial cds;30-SEP-2025;Human astrovirus 5;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis";Mamastrovirus hominis;Astroviridae;676.0;Kumthip,K., Khamrin,P. and Maneekarn,N.;;CMH-SS007-23/THA;Thailand;;15-Feb-2023;stool;Homo sapiens;No;2.0;No;No;NA-NA;;0-312;1.0;304-676;1.0;Mammalia;
PX378135;PX378135.1;Human astrovirus 4 isolate CMH-SS042-24/THA RNA-dependent RNA polymerase and capsid protein genes, partial cds;30-SEP-2025;Human astrovirus 4;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis";Mamastrovirus hominis;Astroviridae;676.0;Kumthip,K., Khamrin,P. and Maneekarn,N.;;CMH-SS042-24/THA;Thailand;;12-Apr-2024;stool;Homo sapiens;No;2.0;No;No;NA-NA;;0-312;1.0;304-676;1.0;Mammalia;
PX378134;PX378134.1;Human astrovirus 4 isolate CMH-ST023-24/THA RNA-dependent RNA polymerase and capsid protein genes, partial cds;30-SEP-2025;Human astrovirus 4;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis";Mamastrovirus hominis;Astroviridae;676.0;Kumthip,K., Khamrin,P. and Maneekarn,N.;;CMH-ST023-24/THA;Thailand;;03-Mar-2024;stool;Homo sapiens;No;2.0;No;No;NA-NA;;0-312;1.0;304-676;1.0;Mammalia;
PX378133;PX378133.1;Human astrovirus 2 isolate CMH-ST098-24/THA RNA-dependent RNA polymerase and capsid protein genes, partial cds;30-SEP-2025;Human astrovirus 2;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis";Mamastrovirus hominis;Astroviridae;676.0;Kumthip,K., Khamrin,P. and Maneekarn,N.;;CMH-ST098-24/THA;Thailand;;02-Sep-2024;stool;Homo sapiens;No;2.0;No;No;NA-NA;;0-312;1.0;304-676;1.0;Mammalia;
PX378132;PX378132.1;Human astrovirus 1 isolate CMH-ST011-23/THA RNA-dependent RNA polymerase and capsid protein genes, partial cds;30-SEP-2025;Human astrovirus 1;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis";Mamastrovirus hominis;Astroviridae;676.0;Kumthip,K., Khamrin,P. and Maneekarn,N.;;CMH-ST011-23/THA;Thailand;;03-Feb-2023;stool;Homo sapiens;No;2.0;No;No;NA-NA;;0-312;1.0;304-676;1.0;Mammalia;
PX378131;PX378131.1;Human astrovirus 1 isolate CMH-SS027-23/THA RNA-dependent RNA polymerase and capsid protein genes, partial cds;30-SEP-2025;Human astrovirus 1;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis";Mamastrovirus hominis;Astroviridae;649.0;Kumthip,K., Khamrin,P. and Maneekarn,N.;;CMH-SS027-23/THA;Thailand;;21-Feb-2023;stool;Homo sapiens;No;2.0;No;No;NA-NA;;0-312;1.0;304-649;1.0;Mammalia;
PV211181;PV211181.1;Human astrovirus 1 isolate Human/BRAZIL/LVCA33693/2022/HAstV-1 capsid protein gene, partial cds;30-SEP-2025;Human astrovirus 1;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis";Mamastrovirus hominis;Astroviridae;420.0;Burlandy,F.M. and Santos,I.;;Human/BRAZIL/LVCA33693/2022/HAstV-1;Brazil;;18-Mar-2022;stool;Homo sapiens;No;1.0;No;No;NA-NA;;NA-NA;;0-420;1.0;Mammalia;
PV211180;PV211180.1;Human astrovirus 1 isolate Human/BRAZIL/LVCA33682/2022/HAstV-1 capsid protein gene, partial cds;30-SEP-2025;Human astrovirus 1;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis";Mamastrovirus hominis;Astroviridae;420.0;Burlandy,F.M. and Santos,I.;;Human/BRAZIL/LVCA33682/2022/HAstV-1;Brazil;;25-Mar-2022;stool;Homo sapiens;No;1.0;No;No;NA-NA;;NA-NA;;0-420;1.0;Mammalia;
PV211179;PV211179.1;Human astrovirus 1 isolate Human/BRAZIL/LVCA33664/2022/HAstV-1 capsid protein gene, partial cds;30-SEP-2025;Human astrovirus 1;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis";Mamastrovirus hominis;Astroviridae;424.0;Burlandy,F.M. and Santos,I.;;Human/BRAZIL/LVCA33664/2022/HAstV-1;Brazil;;31-Mar-2022;stool;Homo sapiens;No;1.0;No;No;NA-NA;;NA-NA;;0-424;1.0;Mammalia;
PV211178;PV211178.1;Human astrovirus 1 isolate Human/BRAZIL/LVCA33659/2022/HAstV-1 capsid protein gene, partial cds;30-SEP-2025;Human astrovirus 1;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis";Mamastrovirus hominis;Astroviridae;442.0;Burlandy,F.M. and Santos,I.;;Human/BRAZIL/LVCA33659/2022/HAstV-1;Brazil;;31-Mar-2022;stool;Homo sapiens;No;1.0;No;No;NA-NA;;NA-NA;;0-442;1.0;Mammalia;
PV211177;PV211177.1;Human astrovirus 1 isolate Human/BRAZIL/LVCA33633/2022/HAstV-1 capsid protein gene, partial cds;30-SEP-2025;Human astrovirus 1;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis";Mamastrovirus hominis;Astroviridae;423.0;Burlandy,F.M. and Santos,I.;;Human/BRAZIL/LVCA33633/2022/HAstV-1;Brazil;;21-Mar-2022;stool;Homo sapiens;No;1.0;No;No;NA-NA;;NA-NA;;0-423;1.0;Mammalia;
PV211176;PV211176.1;Human astrovirus 1 isolate Human/BRAZIL/LVCA33601/2022/HAstV-1 capsid protein gene, partial cds;30-SEP-2025;Human astrovirus 1;a;Mamastrovirus hominis;Astroviridae;422.0;Burlandy,F.M. and Santos,I.;;Human/BRAZIL/LVCA33601/2022/HAstV-1;Brazil;;24-Feb-2022;stool;Homo sapiens;No;1.0;No;No;NA-NA;;NA-NA;;0-422;1.0;Mammalia;
PX236818;PX236818.1;Possum astrovirus isolate M23 ORF1a protein, ORF1b protein, and ORF2 protein genes, complete cds;24-SEP-2025;Possum astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae";;Astroviridae;6363.0;French,R.K.;;M23;New Zealand;;2021;kidney/liver;Trichosurus vulpecula;No;3.0;No;No;101-2582;1.0;2596-4108;1.0;3983-6215;1.0;Mammalia;
PX236817;PX236817.1;"Possum astrovirus isolate M22 ORF1a protein and ORF1b protein genes, complete cds; and ORF2 protein gene, partial cds";24-SEP-2025;Possum astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae";;Astroviridae;5446.0;French,R.K.;;M22;New Zealand;;2021;kidney/liver;Trichosurus vulpecula;No;3.0;No;No;18-2475;1.0;2489-3986;1.0;3876-5446;1.0;Mammalia;
PX255451;PX255451.1;Human astrovirus isolate CHX10SS1 putative serine protease (ORF1a), RNA-dependent RNA polymerase (ORF1b), and capsid precursor protein (ORF2) genes, complete cds;24-SEP-2025;Human astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae";;Astroviridae;6765.0;Matambo,E., Kawonga,F., Mhango,C., Chinyama,E., Msowoya,J., Majengo,C., Maseko,S., Shange,N., Baloyi,S., Mogotsi,M.T., Dennis,F.E., Matambo,P., Kamng'ona,A.W., Kumwenda,B., Nyaga,M.M., Donato,C., Chaguza,C. and Jere,K.C.;;CHX10SS1;Malawi;;23-May-2019;stool;Homo sapiens;No;3.0;No;No;75-2853;1.0;3233-4340;1.0;4332-6681;1.0;Mammalia;
PX255450;PX255450.1;Human astrovirus isolate CQA104S1 putative serine protease (ORF1a), RNA-dependent RNA polymerase (ORF1b), and capsid precursor protein (ORF2) genes, complete cds;24-SEP-2025;Human astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae";;Astroviridae;6719.0;Matambo,E., Kawonga,F., Mhango,C., Chinyama,E., Msowoya,J., Majengo,C., Maseko,S., Shange,N., Baloyi,S., Mogotsi,M.T., Dennis,F.E., Matambo,P., Kamng'ona,A.W., Kumwenda,B., Nyaga,M.M., Donato,C., Chaguza,C. and Jere,K.C.;;CQA104S1;Malawi;;23-Nov-2022;stool;Homo sapiens;No;3.0;No;No;62-2822;1.0;3202-4309;1.0;4301-6638;1.0;Mammalia;
