GBAC,1A,1A-strand,1B,1B-strand,2,2-strand
PQ421849,NA-NA,NA,2505-4005,1,NA-NA,NA
PQ421848,NA-NA,NA,NA-NA,NA,NA-NA,NA
PQ421847,NA-NA,NA,NA-NA,NA,NA-NA,NA
PQ421846,NA-NA,NA,NA-NA,NA,NA-NA,NA
PQ421845,NA-NA,NA,NA-NA,NA,NA-NA,NA
PQ421844,NA-NA,NA,NA-NA,NA,NA-NA,NA
PQ421843,NA-NA,NA,NA-NA,NA,NA-NA,NA
PQ421842,NA-NA,NA,NA-NA,NA,NA-NA,NA
PQ421841,NA-NA,NA,NA-NA,NA,NA-NA,NA
PP942995,0-485,1,NA-NA,NA,NA-NA,NA
PP942994,0-485,1,NA-NA,NA,NA-NA,NA
PV853945,42-2466,1,2423-3938,1,3924-6120,1
PV847578,NA-NA,NA,NA-NA,NA,0-2331,1
PV843273,NA-NA,NA,2748-4251,1,4240-6436,1
PV838126,NA-NA,NA,0-326,1,NA-NA,NA
PV838125,NA-NA,NA,0-326,1,NA-NA,NA
PV838124,NA-NA,NA,0-308,1,NA-NA,NA
PV838123,NA-NA,NA,0-308,1,NA-NA,NA
PV838122,NA-NA,NA,0-308,1,NA-NA,NA
PV838121,NA-NA,NA,0-308,1,NA-NA,NA
PV838120,NA-NA,NA,0-308,1,NA-NA,NA
PV838119,NA-NA,NA,0-308,1,NA-NA,NA
PV838118,NA-NA,NA,0-308,1,NA-NA,NA
PV838117,NA-NA,NA,0-308,1,NA-NA,NA
PV838116,NA-NA,NA,0-308,1,NA-NA,NA
PV838115,NA-NA,NA,0-308,1,NA-NA,NA
PV838114,NA-NA,NA,0-308,1,NA-NA,NA
PV838113,NA-NA,NA,0-308,1,NA-NA,NA
PV838112,NA-NA,NA,0-308,1,NA-NA,NA
PV838111,NA-NA,NA,0-311,1,NA-NA,NA
PV838110,NA-NA,NA,0-311,1,NA-NA,NA
PV838109,NA-NA,NA,0-311,1,NA-NA,NA
PV838108,NA-NA,NA,0-311,1,NA-NA,NA
PV838107,NA-NA,NA,0-311,1,NA-NA,NA
PV838106,NA-NA,NA,0-311,1,NA-NA,NA
PV838105,NA-NA,NA,0-311,1,NA-NA,NA
PV838104,NA-NA,NA,0-311,1,NA-NA,NA
PV838103,NA-NA,NA,0-311,1,NA-NA,NA
PV838102,NA-NA,NA,0-311,1,NA-NA,NA
PV838101,NA-NA,NA,0-311,1,NA-NA,NA
PV838100,NA-NA,NA,0-311,1,NA-NA,NA
PV838099,NA-NA,NA,0-311,1,NA-NA,NA
PV838098,NA-NA,NA,0-311,1,NA-NA,NA
PV838097,NA-NA,NA,0-311,1,NA-NA,NA
PV838096,NA-NA,NA,0-311,1,NA-NA,NA
PV838095,NA-NA,NA,0-311,1,NA-NA,NA
PV838094,NA-NA,NA,0-311,1,NA-NA,NA
PV838093,NA-NA,NA,0-311,1,NA-NA,NA
PV791158,79-2881,1,NA-NA,NA,NA-NA,NA
PV780444,NA-NA,NA,NA-NA,NA,0-2115,1
PV780443,NA-NA,NA,NA-NA,NA,0-2115,1
PV780442,NA-NA,NA,NA-NA,NA,0-2115,1
PV780441,NA-NA,NA,NA-NA,NA,0-2115,1
PV780440,NA-NA,NA,NA-NA,NA,0-2115,1
PV780439,NA-NA,NA,NA-NA,NA,0-2115,1
PV780438,NA-NA,NA,NA-NA,NA,0-2115,1
PV780437,22-3277,1,3267-4818,1,4836-6951,1
PV780436,15-3270,1,3260-4811,1,4829-6944,1
PV780435,13-3268,1,3258-4809,1,4827-6942,1
PV780434,53-3308,1,3298-4849,1,4867-6982,1
OP556335,2-1373,1,1669-4546,1,NA-NA,NA
PP872139,NA-NA,NA,NA-NA,NA,0-2328,1
PP872138,NA-NA,NA,0-1032,1,1024-3283,1
PP872137,NA-NA,NA,0-1425,1,1417-3683,1
PP872136,NA-NA,NA,0-720,1,712-3208,1
PP872135,NA-NA,NA,NA-NA,NA,0-2469,1
PP872134,NA-NA,NA,NA-NA,NA,0-1005,1
PP872133,0-2475,1,NA-NA,NA,NA-NA,NA
PP872132,NA-NA,NA,0-2298,1,NA-NA,NA
PP872131,NA-NA,NA,0-1221,1,1213-3538,1
PP872130,NA-NA,NA,NA-NA,NA,0-2340,1
PP872129,0-669,1,NA-NA,NA,NA-NA,NA
PP872128,NA-NA,NA,NA-NA,NA,0-1428,1
PP872127,NA-NA,NA,NA-NA,NA,0-1044,1
PP872126,NA-NA,NA,0-585,1,577-2923,1
PP872125,0-2322,1,NA-NA,NA,NA-NA,NA
PP872124,0-2478,1,NA-NA,NA,NA-NA,NA
PP872123,NA-NA,NA,0-918,1,910-3403,1
PP872122,NA-NA,NA,NA-NA,NA,0-2169,1
PP872121,NA-NA,NA,NA-NA,NA,0-1425,1
PP872120,NA-NA,NA,0-1644,1,NA-NA,NA
PP872119,NA-NA,NA,0-1428,1,1420-3856,1
PP872118,0-1077,1,NA-NA,NA,NA-NA,NA
PP872117,NA-NA,NA,NA-NA,NA,0-2049,1
PP872116,NA-NA,NA,NA-NA,NA,0-1752,1
PP872115,NA-NA,NA,NA-NA,NA,0-963,1
PP872114,NA-NA,NA,NA-NA,NA,0-777,1
PP872113,NA-NA,NA,NA-NA,NA,0-993,1
PP872112,0-1164,1,NA-NA,NA,NA-NA,NA
PP872111,NA-NA,NA,0-2226,1,NA-NA,NA
PP872110,2-1445,1,NA-NA,NA,NA-NA,NA
PP872109,0-2550,1,NA-NA,NA,NA-NA,NA
PP872108,NA-NA,NA,NA-NA,NA,0-1410,1
PP872107,NA-NA,NA,NA-NA,NA,0-1353,1
PP872106,0-2181,1,NA-NA,NA,NA-NA,NA
PP872105,0-753,1,NA-NA,NA,NA-NA,NA
PP872104,NA-NA,NA,NA-NA,NA,0-2256,1
PP872103,0-1815,1,NA-NA,NA,NA-NA,NA
PP872102,0-903,1,NA-NA,NA,NA-NA,NA
PP872101,0-633,1,NA-NA,NA,NA-NA,NA
PP872100,1-1116,1,NA-NA,NA,NA-NA,NA
PP872099,NA-NA,NA,NA-NA,NA,0-2541,1
PP872098,NA-NA,NA,0-1428,1,1420-3958,1
PP872097,0-2625,1,NA-NA,NA,NA-NA,NA
PP872096,0-2628,1,NA-NA,NA,NA-NA,NA
PP872095,NA-NA,NA,NA-NA,NA,0-1365,1
PP872094,NA-NA,NA,NA-NA,NA,0-2493,1
PP872093,NA-NA,NA,NA-NA,NA,0-1257,1
PP872092,NA-NA,NA,NA-NA,NA,0-1464,1
PP872091,0-1821,1,NA-NA,NA,NA-NA,NA
PP872090,0-2328,1,NA-NA,NA,NA-NA,NA
PP872089,NA-NA,NA,0-1002,1,NA-NA,NA
PP872088,0-2640,1,NA-NA,NA,NA-NA,NA
PP872087,0-2181,1,NA-NA,NA,NA-NA,NA
PP872086,0-2067,1,NA-NA,NA,NA-NA,NA
PP872085,NA-NA,NA,0-1125,1,1117-3430,1
PP872084,0-1566,1,NA-NA,NA,1510-3862,1
PP872083,0-777,1,NA-NA,NA,NA-NA,NA
PP872082,0-2004,1,NA-NA,NA,NA-NA,NA
PP872081,0-3510,1,NA-NA,NA,3319-5359,1
PP872080,NA-NA,NA,0-2490,1,NA-NA,NA
PP872079,0-3621,1,NA-NA,NA,3430-5476,1
PP872078,0-2625,1,NA-NA,NA,NA-NA,NA
PP872077,NA-NA,NA,NA-NA,NA,0-2469,1
PP872076,NA-NA,NA,NA-NA,NA,0-2475,1
PP872075,NA-NA,NA,NA-NA,NA,0-2595,1
PP872074,NA-NA,NA,0-1134,1,NA-NA,NA
PP872073,0-3513,1,NA-NA,NA,3319-5194,1
PP872072,0-939,1,NA-NA,NA,NA-NA,NA
PP872071,NA-NA,NA,NA-NA,NA,0-1536,1
PP872070,0-1458,1,NA-NA,NA,NA-NA,NA
PP872069,NA-NA,NA,0-441,1,433-2731,1
PP872068,NA-NA,NA,NA-NA,NA,0-2217,1
PP872067,NA-NA,NA,0-2478,1,NA-NA,NA
PP872066,0-2181,1,NA-NA,NA,NA-NA,NA
PP872065,0-1221,1,NA-NA,NA,1030-3079,1
PP872064,NA-NA,NA,0-684,1,676-3184,1
PP872063,NA-NA,NA,0-1014,1,NA-NA,NA
PP872062,0-1977,1,NA-NA,NA,NA-NA,NA
PP872061,NA-NA,NA,0-489,1,433-2821,1
PP872060,NA-NA,NA,0-1170,1,NA-NA,NA
PP872059,NA-NA,NA,0-1713,1,NA-NA,NA
PP872058,NA-NA,NA,0-849,1,NA-NA,NA
PP872057,0-705,1,NA-NA,NA,NA-NA,NA
PP872056,0-3621,1,NA-NA,NA,3430-5476,1
PP872055,0-2457,1,NA-NA,NA,NA-NA,NA
PP872054,0-1812,1,NA-NA,NA,NA-NA,NA
PP872053,0-2493,1,NA-NA,NA,NA-NA,NA
PP872052,NA-NA,NA,0-855,1,NA-NA,NA
PP872051,0-2640,1,NA-NA,NA,NA-NA,NA
PP872050,0-1791,1,NA-NA,NA,NA-NA,NA
PP872049,0-1140,1,NA-NA,NA,NA-NA,NA
PP872048,0-2628,1,NA-NA,NA,NA-NA,NA
PP872047,324-3834,1,NA-NA,NA,3643-5686,1
PP872046,NA-NA,NA,NA-NA,NA,0-2322,1
PP872045,0-2187,1,NA-NA,NA,NA-NA,NA
PP872044,NA-NA,NA,0-1032,1,NA-NA,NA
PP872043,0-3621,1,NA-NA,NA,3430-5491,1
PP872042,0-957,1,NA-NA,NA,NA-NA,NA
PP872041,NA-NA,NA,0-1293,1,NA-NA,NA
PP872040,NA-NA,NA,0-354,1,346-2662,1
PP872039,0-1602,1,NA-NA,NA,NA-NA,NA
PP872038,NA-NA,NA,0-1119,1,1111-3214,1
PP872037,NA-NA,NA,NA-NA,NA,0-753,1
PP872036,0-2526,1,NA-NA,NA,NA-NA,NA
PP872035,0-672,1,NA-NA,NA,NA-NA,NA
PP872034,NA-NA,NA,NA-NA,NA,0-2322,1
PP872033,NA-NA,NA,NA-NA,NA,0-2160,1
PP872032,0-1866,1,NA-NA,NA,NA-NA,NA
PP872031,NA-NA,NA,NA-NA,NA,0-993,1
PP872030,NA-NA,NA,0-906,1,NA-NA,NA
PP872029,NA-NA,NA,0-348,1,340-2863,1
PP872028,NA-NA,NA,0-1398,1,1390-3871,1
PP872027,0-1620,1,NA-NA,NA,NA-NA,NA
PP872026,0-2517,1,NA-NA,NA,NA-NA,NA
PP872025,NA-NA,NA,NA-NA,NA,0-2493,1
PP872024,NA-NA,NA,NA-NA,NA,0-1464,1
PP872023,0-2310,1,NA-NA,NA,NA-NA,NA
PP872022,NA-NA,NA,NA-NA,NA,0-2586,1
PP872021,NA-NA,NA,0-915,1,NA-NA,NA
PP872020,0-642,1,NA-NA,NA,NA-NA,NA
PP872019,0-1185,1,NA-NA,NA,NA-NA,NA
PP872018,NA-NA,NA,NA-NA,NA,0-1617,1
PP872017,NA-NA,NA,0-888,1,880-3148,1
PP872016,NA-NA,NA,0-714,1,NA-NA,NA
PP872015,NA-NA,NA,0-1005,1,997-3313,1
PP872014,0-1875,1,NA-NA,NA,NA-NA,NA
PP872013,NA-NA,NA,0-345,1,337-2845,1
PP872012,NA-NA,NA,0-1158,1,NA-NA,NA
PP872011,0-3513,1,NA-NA,NA,3319-5236,1
PP872010,NA-NA,NA,NA-NA,NA,0-2106,1
PP872009,NA-NA,NA,0-954,1,NA-NA,NA
PP872008,0-2061,1,NA-NA,NA,NA-NA,NA
PP872007,0-2244,1,NA-NA,NA,NA-NA,NA
PP872006,NA-NA,NA,0-951,1,943-3520,1
PP872005,NA-NA,NA,NA-NA,NA,0-1146,1
PP872004,NA-NA,NA,NA-NA,NA,0-2202,1
PP872003,NA-NA,NA,0-984,1,NA-NA,NA
PP872002,0-2505,1,NA-NA,NA,NA-NA,NA
PP872001,0-2328,1,NA-NA,NA,NA-NA,NA
PP872000,0-3510,1,NA-NA,NA,3319-5371,1
PP871999,NA-NA,NA,NA-NA,NA,0-2433,1
PP871998,NA-NA,NA,NA-NA,NA,0-1899,1
PP871997,NA-NA,NA,NA-NA,NA,0-1101,1
PP871996,0-2415,1,NA-NA,NA,NA-NA,NA
PP871995,0-651,1,NA-NA,NA,NA-NA,NA
PP871994,0-1605,1,NA-NA,NA,NA-NA,NA
PP871993,NA-NA,NA,NA-NA,NA,0-2285,1
PP871992,0-1335,1,NA-NA,NA,NA-NA,NA
PP871991,0-915,1,NA-NA,NA,NA-NA,NA
PP871990,0-2019,1,NA-NA,NA,NA-NA,NA
PP871989,NA-NA,NA,NA-NA,NA,0-2235,1
PP871988,NA-NA,NA,NA-NA,NA,0-1383,1
PP871987,0-1602,1,NA-NA,NA,NA-NA,NA
PP871986,0-2307,1,NA-NA,NA,NA-NA,NA
PP871985,NA-NA,NA,0-1431,1,1423-3937,1
PP871984,0-3621,1,NA-NA,NA,3430-5476,1
PP871983,0-1764,1,NA-NA,NA,NA-NA,NA
PP871982,0-1494,1,NA-NA,NA,NA-NA,NA
PP871981,NA-NA,NA,0-918,1,910-3493,1
PP871980,NA-NA,NA,NA-NA,NA,0-1008,1
PP871979,0-3621,1,NA-NA,NA,3430-5476,1
PP871978,NA-NA,NA,NA-NA,NA,0-2442,1
PP871977,NA-NA,NA,NA-NA,NA,0-2019,1
PP871976,NA-NA,NA,NA-NA,NA,0-1089,1
PP871975,0-2475,1,NA-NA,NA,NA-NA,NA
PP871974,NA-NA,NA,0-1431,1,1423-3856,1
PP871973,NA-NA,NA,NA-NA,NA,0-2019,1
PP871972,NA-NA,NA,NA-NA,NA,0-2562,1
PP871971,NA-NA,NA,NA-NA,NA,0-2076,1
PP871970,NA-NA,NA,0-1248,1,1240-3709,1
PP871969,0-2571,1,NA-NA,NA,NA-NA,NA
PP871968,0-2640,1,NA-NA,NA,NA-NA,NA
PP871967,NA-NA,NA,NA-NA,NA,0-1275,1
PP871966,0-2550,1,NA-NA,NA,NA-NA,NA
PP871965,NA-NA,NA,NA-NA,NA,0-1164,1
PP871964,0-1020,1,NA-NA,NA,NA-NA,NA
PP871963,NA-NA,NA,NA-NA,NA,0-2358,1
PP871962,0-2634,1,2570-3872,1,NA-NA,NA
PP871961,0-3621,1,NA-NA,NA,3430-5476,1
PP871960,NA-NA,NA,0-906,1,898-3073,1
PP871959,NA-NA,NA,NA-NA,NA,0-2319,1
PP871958,NA-NA,NA,NA-NA,NA,0-1254,1
PP871957,NA-NA,NA,NA-NA,NA,0-768,1
PP871956,0-942,1,NA-NA,NA,NA-NA,NA
PP871955,NA-NA,NA,NA-NA,NA,0-2196,1
PP871954,NA-NA,NA,NA-NA,NA,0-2307,1
PP871953,NA-NA,NA,NA-NA,NA,0-1485,1
PP871952,0-2568,1,NA-NA,NA,NA-NA,NA
PP871951,0-942,1,NA-NA,NA,NA-NA,NA
PP871950,0-1008,1,NA-NA,NA,NA-NA,NA
PP871949,0-1134,1,NA-NA,NA,NA-NA,NA
