candidate_id	record_name	accession	start	end	strand	gene	product	is_corrected	correction_offset	original_translation
cand_0159	PQ055537	PQ055537.1	3566	4964	1	unknown	hypothetical protein	False		
cand_0160	PQ055536	PQ055536.1	11	1988	1	unknown	putative peptidase	False		
cand_0161	PQ055536	PQ055536.1	3576	5322	1	unknown	putative viral coat protein	False		
cand_0162	PQ055535	PQ055535.1	14	2306	1	unknown	putative peptidase	False		
cand_0163	PQ055535	PQ055535.1	3938	5159	1	unknown	hypothetical protein	False		
cand_0164	PQ055534	PQ055534.1	4043	4949	1	unknown	hypothetical protein	False		
cand_0165	PQ055533	PQ055533.1	88	2068	1	unknown	hypothetical protein	False		
cand_0166	PQ055533	PQ055533.1	3691	5212	1	unknown	hypothetical protein	False		
cand_0167	PQ055532	PQ055532.1	101	2342	1	unknown	hypothetical protein	False		
cand_0168	PQ055532	PQ055532.1	4139	5543	1	unknown	hypothetical protein	False		
cand_0169	PQ055531	PQ055531.1	9	2055	1	unknown	putative peptidase	False		
cand_0170	PQ055530	PQ055530.1	13	784	1	unknown	hypothetical protein	False		
cand_0171	PQ055530	PQ055530.1	2473	4705	1	unknown	hypothetical protein	False		
cand_0172	PQ055529	PQ055529.1	67	4477	1	unknown	hypothetical protein	False		
cand_0173	PQ055528	PQ055528.1	50	2909	1	unknown	putative peptidase	False		
cand_0174	PQ055528	PQ055528.1	4556	6113	1	unknown	putative viral coat protein	False		
cand_0175	PQ055527	PQ055527.1	23	6293	1	unknown	polyprotein	False		
cand_0176	PQ055526	PQ055526.1	18	1629	1	unknown	hypothetical protein	False		
cand_0177	PQ055526	PQ055526.1	4292	5939	1	unknown	putative viral coat protein	False		
cand_0178	PQ055524	PQ055524.1	8	3545	1	unknown	putative peptidase	False		
cand_0179	PQ055524	PQ055524.1	5243	6668	1	unknown	hypothetical protein	False		
cand_0180	PQ055524	PQ055524.1	6688	7927	1	unknown	hypothetical protein	False		
cand_0181	PQ055523	PQ055523.1	65	4283	1	unknown	polyprotein	False		
cand_0182	PQ055521	PQ055521.1	3	1989	1	unknown	polyprotein	False		
cand_0183	PP272615	PP272615.1	45	4275	1	unknown	non-structural polyprotein	False		
cand_0184	PP272491	PP272491.1	35	4265	1	unknown	non-structural polyprotein	False		
cand_0185	PP272490	PP272490.1	52	4282	1	unknown	non-structural polyprotein	False		
cand_0186	PP272489	PP272489.1	41	4271	1	unknown	non-structural polyprotein	False		
cand_0187	PP272488	PP272488.1	40	4270	1	unknown	non-structural polyprotein	False		
cand_0188	PP272487	PP272487.1	31	4261	1	unknown	non-structural polyprotein	False		
cand_0189	PP272486	PP272486.1	145	4375	1	unknown	non-structural polyprotein	False		
cand_0190	OM104033	OM104033.1	253	3763	1	unknown	nonstructural polyprotein	False		
cand_0191	OM104031	OM104031.1	0	2402	1	unknown	nonstructural protein	False		
cand_0192	PQ037214	PQ037214.1	56	3311	1	unknown	non-structural polyprotein	False		
cand_0193	PP999617	PP999617.1	7	3805	1	ORF1	nonstructural protein 1	False		
cand_0194	PP999617	PP999617.1	3699	4293	1	ORF4	putative protein	False		
cand_0195	PP999617	PP999617.1	5600	5936	1	ORF3A	putative protein	False		
cand_0196	PP999617	PP999617.1	5646	5910	1	ORF3B	putative protein	False		
cand_0197	PP999616	PP999616.1	24	3822	1	ORF1	nonstructural protein 1	False		
cand_0198	PP999616	PP999616.1	3716	4304	1	ORF4	putative protein	False		
cand_0199	PP999616	PP999616.1	5616	5952	1	ORF3A	putative protein	False		
cand_0200	PP999616	PP999616.1	5662	5926	1	ORF3B	putative protein	False		
cand_0201	PP174099	PP174099.1	1530	2273	-1	unknown	hypothetical protein	False		
cand_0202	PP174089	PP174089.1	1397	2093	-1	unknown	hypothetical protein	False		
cand_0203	PP174052	PP174052.1	43	1492	1	unknown	hypothetical protein	False		
cand_0204	PP174052	PP174052.1	3207	4965	1	unknown	hypothetical protein	False		
cand_0205	PP174037	PP174037.1	6	1083	-1	unknown	hypothetical protein	False		
cand_0206	PP173978	PP173978.1	2260	4018	1	unknown	hypothetical protein	False		
cand_0207	PP173959	PP173959.1	0	3161	1	unknown	hypothetical protein	False		
cand_0208	PP173952	PP173952.1	62	1511	-1	unknown	hypothetical protein	False		
cand_0209	PP173952	PP173952.1	3074	4847	-1	unknown	hypothetical protein	False		
cand_0210	PP173914	PP173914.1	1530	2775	-1	unknown	hypothetical protein	False		
cand_0211	PP173905	PP173905.1	2820	3762	-1	unknown	hypothetical protein	False		
cand_0212	PP173621	PP173621.1	1204	2500	-1	unknown	hypothetical protein	False		
cand_0213	PP173619	PP173619.1	1605	4200	-1	unknown	hypothetical protein	False		
cand_0214	PP173590	PP173590.1	64	1174	1	unknown	hypothetical protein	False		
cand_0215	PP173384	PP173384.1	3237	6540	-1	unknown	hypothetical protein	False		
cand_0216	PP173376	PP173376.1	1419	1989	-1	unknown	hypothetical protein	False		
cand_0217	PP173284	PP173284.1	13	1240	1	unknown	hypothetical protein	False		
cand_0218	PP173191	PP173191.1	3161	6278	-1	unknown	hypothetical protein	False		
cand_0219	PP173172	PP173172.1	2137	2902	-1	unknown	hypothetical protein	False		
cand_0220	PP173125	PP173125.1	1658	2018	-1	unknown	hypothetical protein	False		
cand_0221	PP172939	PP172939.1	1597	3016	-1	unknown	hypothetical protein	False		
cand_0222	PP172792	PP172792.1	3116	4772	-1	unknown	hypothetical protein	False		
cand_0223	PP172252	PP172252.1	3891	6693	-1	unknown	hypothetical protein	False		
cand_0224	PP172252	PP172252.1	6693	7365	-1	unknown	hypothetical protein	False		
cand_0225	PP172159	PP172159.1	1582	4477	-1	unknown	hypothetical protein	False		
cand_0226	PP172009	PP172009.1	57	2118	1	unknown	hypothetical protein	False		
cand_0227	PP172009	PP172009.1	2135	3698	1	unknown	nonstructural protein	False		
cand_0228	PP171968	PP171968.1	37	721	1	unknown	hypothetical protein	False		
cand_0229	PP171953	PP171953.1	14	3992	1	unknown	hypothetical protein	False		
cand_0230	PP171789	PP171789.1	8	1571	1	unknown	hypothetical protein	False		
cand_0231	BK066576	BK066576.1	8188	8431	1	unknown	Parboid	False		
cand_0232	BK066576	BK066576.1	8475	8793	1	unknown	Chitsmem	False		
cand_0233	BK066576	BK066576.1	8773	9034	1	unknown	P6447	False		
cand_0234	BK066576	BK066576.1	8984	10382	1	unknown	Env	False		
cand_0235	BK066576	BK066576.1	10174	10411	1	unknown	Linhib	False		
cand_0236	PP228886	PP228886.1	9	4559	1	unknown	non-structural polyprotein	False		
cand_0237	PP228885	PP228885.1	6	4556	1	unknown	non-structural polyprotein	False		
cand_0238	OR800329	OR800329.1	27	306	1	unknown	nonstructural protein	False		
cand_0239	OR800329	OR800329.1	843	1023	1	unknown	nonstructural protein	False		
cand_0240	OR645486	OR645486.1	0	572	1	unknown	non-structural polyprotein	False		
cand_0241	OR270284	OR270284.1	329	890	1	unknown	hypothetical protein	False		
cand_0242	OR270284	OR270284.1	1865	2375	1	unknown	hypothetical protein	False		
cand_0243	OQ986679	OQ986679.1	2648	4040	1	unknown	nonstructural protein	False		
cand_0244	OQ986609	OQ986609.1	2490	3900	-1	unknown	nonstructural protein	False		
cand_0245	OQ986608	OQ986608.1	2732	4127	1	unknown	nonstructural protein	False		
cand_0246	OQ986607	OQ986607.1	2701	4216	1	unknown	nonstructural protein	False		
cand_0247	OR613306	OR613306.1	0	1000	1	unknown	ORF1	False		
cand_0248	OQ802763	OQ802763.1	0	1697	1	unknown	nonstructural polyprotein	False		
cand_0249	OQ802762	OQ802762.1	0	1699	1	unknown	nonstructural polyprotein	False		
cand_0250	OQ802761	OQ802761.1	74	4484	1	unknown	nonstructural polyprotein	False		
cand_0251	OQ802760	OQ802760.1	11	5438	1	unknown	nonstructural polyprotein	False		
cand_0252	OQ802760	OQ802760.1	8026	8668	1	unknown	ORF3 protein	False		
cand_0253	OQ802757	OQ802757.1	0	564	1	unknown	nonstructural polyprotein	False		
cand_0254	OQ802756	OQ802756.1	23	4139	1	unknown	nonstructural polyprotein	False		
cand_0255	OQ802732	OQ802732.1	0	1195	1	unknown	nonstructural polyprotein	False		
cand_0256	OQ802731	OQ802731.1	0	527	1	unknown	nonstructural polyprotein	False		
cand_0257	OQ802730	OQ802730.1	84	3759	1	unknown	nonstructural polyprotein	False		
cand_0258	OQ802729	OQ802729.1	3	3675	1	unknown	nonstructural polyprotein	False		
cand_0259	OQ802714	OQ802714.1	0	481	1	unknown	nonstructural polyprotein	False		
cand_0260	OQ802713	OQ802713.1	38	4283	1	unknown	nonstructural polyprotein	False		
cand_0261	OQ802697	OQ802697.1	98	5597	1	unknown	hypothetical protein	False		
cand_0262	OQ802697	OQ802697.1	7823	8420	1	unknown	hypothetical protein	False		
cand_0263	OQ802697	OQ802697.1	8416	11440	1	unknown	hypothetical protein	False		
cand_0264	OR439362	OR439362.1	74	4298	1	unknown	nonstructural protein	False		
cand_0265	OR552431	OR552431.1	0	3675	1	unknown	non-structural polyprotein	False		
cand_0266	OR552430	OR552430.1	0	3676	1	unknown	non-structural polyprotein	False		
cand_0267	OR234613	OR234613.1	0	1542	1	unknown	hypothetical protein	False		
cand_0268	OR234607	OR234607.1	0	1551	1	unknown	hypothetical protein	False		
cand_0269	OQ870553	OQ870553.1	13	4572	1	unknown	non-structural polyprotein	False		
cand_0270	OQ709194	OQ709194.1	58	1159	1	unknown	polyprotein	False		
cand_0271	OQ709193	OQ709193.1	516	7025	1	unknown	polyprotein	False		
cand_0272	OQ709192	OQ709192.1	79	1588	1	unknown	polyprotein	False		
cand_0273	OQ709191	OQ709191.1	201	6465	1	unknown	polyprotein	False		
cand_0274	OQ709190	OQ709190.1	88	2369	1	unknown	polyprotein	False		
cand_0275	OQ709189	OQ709189.1	300	2922	1	unknown	polyprotein	False		
cand_0276	OQ709188	OQ709188.1	161	1621	1	unknown	polyprotein	False		
cand_0277	OQ076692	OQ076692.1	22	3304	1	unknown	non-structural polyprotein	False		
cand_0278	OP764611	OP764611.1	56	3311	1	unknown	non-structural polyprotein	False		
cand_0279	OQ599876	OQ599876.1	0	4238	1	unknown	non-structural polyprotein	False		
cand_0280	OP094602	OP094602.1	0	2557	1	unknown	nonstructural protein	False		
cand_0281	ON982163	ON982163.1	400	3766	1	unknown	hypothetical protein	False		
cand_0282	ON807318	ON807318.1	0	2766	1	unknown	ORF1	False		
cand_0283	ON932807	ON932807.1	0	1372	1	unknown	nonstructural polyprotein	False		
cand_0284	ON932806	ON932806.1	0	3870	1	unknown	nonstructural polyprotein	False		
cand_0285	ON932805	ON932805.1	0	1467	1	unknown	nonstructural polyprotein	False		
cand_0286	OQ198050	OQ198050.1	620	4183	1	unknown	polyprotein	False		
cand_0287	OQ198047	OQ198047.1	200	3389	1	unknown	nonstructural protein	False		
cand_0288	OQ198045	OQ198045.1	18	2736	1	unknown	nonstructural protein	False		
cand_0289	OQ198041	OQ198041.1	178	2935	1	unknown	nonstructural protein	False		
cand_0290	OQ198040	OQ198040.1	5	2762	1	unknown	nonstructural protein	False		
cand_0291	OQ198039	OQ198039.1	44	2762	1	unknown	nonstructural protein	False		
cand_0292	OQ198038	OQ198038.1	1363	4120	1	unknown	nonstructural protein	False		
cand_0293	OQ198035	OQ198035.1	213	2931	1	unknown	nonstructural protein	False		
cand_0294	OM469245	OM469245.1	17	3437	1	unknown	non-structural polyprotein	False		
cand_0295	OM469244	OM469244.1	30	3450	1	unknown	non-structural polyprotein	False		
cand_0296	OM469243	OM469243.1	0	2287	1	unknown	non-structural polyprotein	False		
cand_0297	OM469242	OM469242.1	21	3441	1	unknown	non-structural polyprotein	False		
cand_0298	OM469241	OM469241.1	0	422	1	unknown	non-structural polyprotein	False		
cand_0299	OM469240	OM469240.1	22	3442	1	unknown	non-structural polyprotein	False		
cand_0300	OM469239	OM469239.1	18	3438	1	unknown	non-structural polyprotein	False		
cand_0301	OM469238	OM469238.1	13	3484	1	unknown	non-structural polyprotein	False		
cand_0302	OM469237	OM469237.1	0	1563	1	unknown	non-structural polyprotein	False		
cand_0303	OM469236	OM469236.1	14	3047	1	unknown	non-structural polyprotein	False		
cand_0304	OM469235	OM469235.1	19	3052	1	unknown	non-structural polyprotein	False		
cand_0305	OM469234	OM469234.1	6	3039	1	unknown	non-structural polyprotein	False		
cand_0306	OM469233	OM469233.1	21	3054	1	unknown	non-structural polyprotein	False		
cand_0307	OM469232	OM469232.1	13	3046	1	unknown	non-structural polyprotein	False		
cand_0308	OM469231	OM469231.1	14	3056	1	unknown	non-structural polyprotein	False		
cand_0309	OM469230	OM469230.1	0	2277	1	unknown	non-structural polyprotein	False		
cand_0310	OM469229	OM469229.1	5	3047	1	unknown	non-structural polyprotein	False		
cand_0311	OP556137	OP556137.1	0	3255	1	unknown	non-structural polyprotein	False		
cand_0312	ON376722	ON376722.1	13	3268	1	unknown	non-structural polyprotein	False		
cand_0313	OP076766	OP076766.1	4030	4258	1	ORFX	hypothetical protein	False		
cand_0314	OP076765	OP076765.1	4024	4249	1	ORFX	hypothetical protein	False		
cand_0315	OP076750	OP076750.1	3998	4226	1	ORFX	hypothetical protein	False		
cand_0316	OP076749	OP076749.1	4005	4233	1	ORFX	hypothetical protein	False		
cand_0317	OP076748	OP076748.1	4009	4225	1	ORFX	hypothetical protein	False		
cand_0318	OP076747	OP076747.1	3988	4225	1	ORFX	hypothetical protein	False		
cand_0319	OP076746	OP076746.1	3100	3337	1	ORFX	hypothetical protein	False		
cand_0320	OP076745	OP076745.1	1324	1552	1	ORFX	hypothetical protein	False		
cand_0321	OP076744	OP076744.1	3111	3339	1	ORFX	hypothetical protein	False		
cand_0322	OP076743	OP076743.1	773	1001	1	ORFX	hypothetical protein	False		
cand_0323	OP413965	OP413965.1	2	2645	1	unknown	nonstructural polyprotein	False		
cand_0324	OP413963	OP413963.1	0	2419	1	unknown	nonstructural polyprotein	False		
cand_0325	OP413957	OP413957.1	50	2600	1	unknown	nonstructural polyprotein	False		
cand_0326	OP413956	OP413956.1	0	2589	1	unknown	nonstructural polyprotein	False		
cand_0327	OP413956	OP413956.1	2609	4061	1	unknown	nonstructural polyprotein	False		
cand_0328	OP413955	OP413955.1	9	2484	1	unknown	nonstructural polyprotein	False		
cand_0329	OP413950	OP413950.1	28	2620	1	unknown	nonstructural polyprotein	False		
cand_0330	OP413950	OP413950.1	2640	4092	1	unknown	nonstructural polyprotein	False		
cand_0331	OK483336	OK483336.1	0	355	1	VP1	VP1	False		
