Accession	LOCUS	Version	GenBank title	Release date	Organism name	Virus Lineage	Species	Family	Length	Reference_title	Submitters	PUBMED_ID	Strain	Isolate	Geo location	Country	Collection date	Tissue/Specimen/Source	Host	Environmental	CDS count	Artificial	UNVERIFIED	1A	1A-strand	1B	1B-strand	2	2-strand	host_clean	Host_species	Host_genus	Host_family	Host_order	Host_class	Host_phylum	Host_kingdom	Species_ICTV	virus_name
PZ146428	PZ146428	PZ146428.1	Bovine astrovirus isolate BoAst-GXGG25 non-structural polyprotein 1ab (ORF1ab), non-structural polyprotein 1a (ORF1a), and capsid protein (ORF2) genes, complete cds	16-JUN-2026	Bovine astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus		Astroviridae	6447	Direct Submission	Li,J., Wu,C., Zhong,S. and Feng,S.			BoAst-GXGG25	China		2024		cow	No	3	No	No	51-2637	1.0	2588-4163	1.0	4155-6441	1.0	Bos taurus	Bos taurus	Bos	Bovidae	Artiodactyla	Mammalia	Chordata	Metazoa	NA	NA
PZ146427	PZ146427	PZ146427.1	Bovine astrovirus isolate BoAst-GXLB25 ORF1a (ORF1a) and ORF2 (ORF2) genes, complete cds	16-JUN-2026	Bovine astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus		Astroviridae	6235	Direct Submission	Li,J., Wu,C., Zhong,S. and Feng,S.			BoAst-GXLB25	China		2024		buffalo	No	2	No	No	72-2523	1.0	NA-NA		3930-6165	1.0	Bubalus bubalis	Bubalus bubalis	Bubalus	Bovidae	Artiodactyla	Mammalia	Chordata	Metazoa	NA	NA
PZ146425	PZ146425	PZ146425.1	Bovine astrovirus isolate BAstV GXGG251 ORF1ab gene, partial cds	16-JUN-2026	Bovine astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus		Astroviridae	354	Direct Submission	Li,J., Zhong,S., Wu,C. and Feng,S.			BAstV GXGG251	China		2025		cow	No	1	No	No	NA-NA		0-354	1.0	NA-NA		Bos taurus	Bos taurus	Bos	Bovidae	Artiodactyla	Mammalia	Chordata	Metazoa	NA	NA
QS043967	QS043967	QS043967.1	JP 2025520771-A/77: New regulatory elements for enhancing RNA stability or mRNA translation, ZCCHC2 interacting with the same, and use thereof	16-MAY-2026	Astrovirus MLB1	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus melbournense	Mamastrovirus melbournense	Astroviridae	130	New regulatory elements for enhancing RNA stability or mRNA translation, ZCCHC2 interacting with the same, and use thereof	.									No	0	Yes	No															NA	NA
QS043959	QS043959	QS043959.1	JP 2025520771-A/69: New regulatory elements for enhancing RNA stability or mRNA translation, ZCCHC2 interacting with the same, and use thereof	16-MAY-2026	Human astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	130	New regulatory elements for enhancing RNA stability or mRNA translation, ZCCHC2 interacting with the same, and use thereof	.									No	0	Yes	No															NA	NA
QS043955	QS043955	QS043955.1	JP 2025520771-A/65: New regulatory elements for enhancing RNA stability or mRNA translation, ZCCHC2 interacting with the same, and use thereof	16-MAY-2026	Human astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	130	New regulatory elements for enhancing RNA stability or mRNA translation, ZCCHC2 interacting with the same, and use thereof	.									No	0	Yes	No															NA	NA
QP747554	QP747554	QP747554.1	JP 2025525390-A/2972: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA	16-MAY-2026	Astrovirus sp.	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	1000	CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA	.									No	0	Yes	No															NA	NA
QP746879	QP746879	QP746879.1	JP 2025525390-A/2297: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA	16-MAY-2026	Astroviridae sp.	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	690	CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA	.									No	0	Yes	No															NA	NA
QP746765	QP746765	QP746765.1	JP 2025525390-A/2183: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA	16-MAY-2026	Astroviridae sp.	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	607	CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA	.									No	0	Yes	No															NA	NA
QP746696	QP746696	QP746696.1	JP 2025525390-A/2114: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA	16-MAY-2026	Astroviridae sp.	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	549	CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA	.									No	0	Yes	No															NA	NA
QP746305	QP746305	QP746305.1	JP 2025525390-A/1723: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA	16-MAY-2026	European roller astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	378	CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA	.									No	0	Yes	No															NA	NA
PZ133622	PZ133622	PZ133622.1	Chicken astrovirus isolate Z1105-GD/2024, partial genome	24-MAY-2026	Chicken astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus		Astroviridae	7204	Direct Submission	Zhang,P.			Z1105-GD/2024	China		2024	intestinum	Ptyas mucosa	No	3	No	No	2-3227	1.0	3208-4768	1.0	4792-7006	1.0	Ptyas mucosa	Ptyas mucosa	Ptyas	Colubridae	Squamata	Lepidosauria	Chordata	Metazoa	NA	NA
PZ344196	PZ344196	PZ344196.1	MAG: Astroviridae sp. isolate 2024-37-Tas-H genomic sequence	19-MAY-2026	Astroviridae sp.	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	580	Divergent coronaviruses discovered in the virome of lamprey with reddening syndrome	Darnely,J.A., Waller,S.J. and Geoghegan,J.L.			2024-37-Tas-H	Australia: Tasmania		2024	pooled RNA from skin, gill, kidney, liver and muscle tissue	Geotria australis	Yes	1	No	No	NA-NA		2-580	1.0	NA-NA		Geotria australis	Geotria australis	Geotria	Geotriidae	Petromyzontiformes	Hyperoartia	Chordata	Metazoa	NA	NA
PZ344195	PZ344195	PZ344195.1	MAG: Astroviridae sp. isolate 95-2024-31-Tas-H RNA-dependent RNA polymerase gene, partial cds	19-MAY-2026	Astroviridae sp.	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	328	Divergent coronaviruses discovered in the virome of lamprey with reddening syndrome	Darnely,J.A., Waller,S.J. and Geoghegan,J.L.			95-2024-31-Tas-H	Australia: Tasmania		2024	pooled RNA from skin, gill, kidney, liver and muscle tissue	Geotria australis	Yes	1	No	No	NA-NA		2-328	1.0	NA-NA		Geotria australis	Geotria australis	Geotria	Geotriidae	Petromyzontiformes	Hyperoartia	Chordata	Metazoa	NA	NA
PZ344194	PZ344194	PZ344194.1	MAG: Astroviridae sp. isolate 2024-34-Tas-H genomic sequence	19-MAY-2026	Astroviridae sp.	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	380	Divergent coronaviruses discovered in the virome of lamprey with reddening syndrome	Darnely,J.A., Waller,S.J. and Geoghegan,J.L.			2024-34-Tas-H	Australia: Tasmania		2024	pooled RNA from skin, gill, kidney, liver and muscle tissue	Geotria australis	Yes	1	No	No	NA-NA		2-380	1.0	NA-NA		Geotria australis	Geotria australis	Geotria	Geotriidae	Petromyzontiformes	Hyperoartia	Chordata	Metazoa	NA	NA
PZ344193	PZ344193	PZ344193.1	MAG: Astroviridae sp. isolate 93-2024-38-Tas-H RNA-dependent RNA polymerase gene, partial cds	19-MAY-2026	Astroviridae sp.	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	398	Divergent coronaviruses discovered in the virome of lamprey with reddening syndrome	Darnely,J.A., Waller,S.J. and Geoghegan,J.L.			93-2024-38-Tas-H	Australia: Tasmania		2024	pooled RNA from skin, gill, kidney, liver and muscle tissue	Geotria australis	Yes	1	No	No	NA-NA		2-398	1.0	NA-NA		Geotria australis	Geotria australis	Geotria	Geotriidae	Petromyzontiformes	Hyperoartia	Chordata	Metazoa	NA	NA
PZ344192	PZ344192	PZ344192.1	MAG: Astroviridae sp. isolate 2024-19-Gore-H genomic sequence	19-MAY-2026	Astroviridae sp.	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	664	Divergent coronaviruses discovered in the virome of lamprey with reddening syndrome	Darnely,J.A., Waller,S.J. and Geoghegan,J.L.			2024-19-Gore-H	New Zealand: Mataura River, Te Au-nui pihapiha-kanakana falls		2024	pooled RNA from skin, gill, kidney, liver and muscle tissue	Geotria australis	Yes	1	No	No	NA-NA		1-664	1.0	NA-NA		Geotria australis	Geotria australis	Geotria	Geotriidae	Petromyzontiformes	Hyperoartia	Chordata	Metazoa	NA	NA
PZ344191	PZ344191	PZ344191.1	MAG: Astroviridae sp. isolate 2024-16-Gore-D genomic sequence	19-MAY-2026	Astroviridae sp.	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	700	Divergent coronaviruses discovered in the virome of lamprey with reddening syndrome	Darnely,J.A., Waller,S.J. and Geoghegan,J.L.			2024-16-Gore-D	New Zealand: Mataura River, Te Au-nui pihapiha-kanakana falls		2024	pooled RNA from skin, gill, kidney, liver and muscle tissue	Geotria australis	Yes	1	No	No	NA-NA		0-700	1.0	NA-NA		Geotria australis	Geotria australis	Geotria	Geotriidae	Petromyzontiformes	Hyperoartia	Chordata	Metazoa	NA	NA
PZ344190	PZ344190	PZ344190.1	MAG: Astroviridae sp. isolate 90-2024-12-Gore-D RNA-dependent RNA polymerase gene, partial cds	19-MAY-2026	Astroviridae sp.	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	433	Divergent coronaviruses discovered in the virome of lamprey with reddening syndrome	Darnely,J.A., Waller,S.J. and Geoghegan,J.L.			90-2024-12-Gore-D	New Zealand: Mataura River, Te Au-nui pihapiha-kanakana falls		2024	pooled RNA from skin, gill, kidney, liver and muscle tissue	Geotria australis	Yes	1	No	No	NA-NA		0-433	1.0	NA-NA		Geotria australis	Geotria australis	Geotria	Geotriidae	Petromyzontiformes	Hyperoartia	Chordata	Metazoa	NA	NA
PZ344189	PZ344189	PZ344189.1	MAG: Astroviridae sp. isolate 89-2024-14-Gore-D RNA-dependent RNA polymerase gene, partial cds	19-MAY-2026	Astroviridae sp.	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	447	Divergent coronaviruses discovered in the virome of lamprey with reddening syndrome	Darnely,J.A., Waller,S.J. and Geoghegan,J.L.			89-2024-14-Gore-D	New Zealand: Mataura River, Te Au-nui pihapiha-kanakana falls		2024	pooled RNA from skin, gill, kidney, liver and muscle tissue	Geotria australis	Yes	1	No	No	NA-NA		1-447	1.0	NA-NA		Geotria australis	Geotria australis	Geotria	Geotriidae	Petromyzontiformes	Hyperoartia	Chordata	Metazoa	NA	NA
PZ344188	PZ344188	PZ344188.1	MAG: Astroviridae sp. isolate 88A-2024-14-Gore-D RNA-dependent RNA polymerase gene, partial cds	19-MAY-2026	Astroviridae sp.	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	524	Divergent coronaviruses discovered in the virome of lamprey with reddening syndrome	Darnely,J.A., Waller,S.J. and Geoghegan,J.L.			88A-2024-14-Gore-D	New Zealand: Mataura River, Te Au-nui pihapiha-kanakana falls		2024	pooled RNA from skin, gill, kidney, liver and muscle tissue	Geotria australis	Yes	1	No	No	NA-NA		2-524	1.0	NA-NA		Geotria australis	Geotria australis	Geotria	Geotriidae	Petromyzontiformes	Hyperoartia	Chordata	Metazoa	NA	NA
PZ344187	PZ344187	PZ344187.1	MAG: Astroviridae sp. isolate 87-2024-12-Gore-D RNA-dependent RNA polymerase gene, partial cds	19-MAY-2026	Astroviridae sp.	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	538	Divergent coronaviruses discovered in the virome of lamprey with reddening syndrome	Darnely,J.A., Waller,S.J. and Geoghegan,J.L.			87-2024-12-Gore-D	New Zealand: Mataura River, Te Au-nui pihapiha-kanakana falls		2024	pooled RNA from skin, gill, kidney, liver and muscle tissue	Geotria australis	Yes	1	No	No	NA-NA		1-538	1.0	NA-NA		Geotria australis	Geotria australis	Geotria	Geotriidae	Petromyzontiformes	Hyperoartia	Chordata	Metazoa	NA	NA
PZ344186	PZ344186	PZ344186.1	MAG: Astroviridae sp. isolate 86-2024-31-Tas-H RNA-dependent RNA polymerase gene, partial cds	19-MAY-2026	Astroviridae sp.	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	393	Divergent coronaviruses discovered in the virome of lamprey with reddening syndrome	Darnely,J.A., Waller,S.J. and Geoghegan,J.L.			86-2024-31-Tas-H	Australia: Tasmania		2024	pooled RNA from skin, gill, kidney, liver and muscle tissue	Geotria australis	Yes	1	No	No	NA-NA		2-393	1.0	NA-NA		Geotria australis	Geotria australis	Geotria	Geotriidae	Petromyzontiformes	Hyperoartia	Chordata	Metazoa	NA	NA
PZ344185	PZ344185	PZ344185.1	MAG: Astroviridae sp. isolate 85-2024-38-Tas-H RNA-dependent RNA polymerase gene, partial cds	19-MAY-2026	Astroviridae sp.	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	641	Divergent coronaviruses discovered in the virome of lamprey with reddening syndrome	Darnely,J.A., Waller,S.J. and Geoghegan,J.L.			85-2024-38-Tas-H	Australia: Tasmania		2024	pooled RNA from skin, gill, kidney, liver and muscle tissue	Geotria australis	Yes	1	No	No	NA-NA		2-641	1.0	NA-NA		Geotria australis	Geotria australis	Geotria	Geotriidae	Petromyzontiformes	Hyperoartia	Chordata	Metazoa	NA	NA
PZ281948	PZ281948	PZ281948.1	Chicken astrovirus strain Moh-C3 polymerase (ORF1b) gene, partial cds	19-MAY-2026	Chicken astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus		Astroviridae	362	Serological and molecular detection of Astrovirus infection in broiler chickens in Diyala Governorate	Wahhab,M.M. and AL-Azzawi,A.K.		Moh-C3		Iraq		Nov-2025	blood	Gallus gallus	No	1	No	No	NA-NA		0-362	1.0	NA-NA		Gallus gallus	Gallus gallus	Gallus	Phasianidae	Galliformes	Aves	Chordata	Metazoa	NA	NA
PZ281947	PZ281947	PZ281947.1	Chicken astrovirus strain Moh-C2 polymerase (ORF1b) gene, partial cds	19-MAY-2026	Chicken astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus		Astroviridae	362	Serological and molecular detection of Astrovirus infection in broiler chickens in Diyala Governorate	Wahhab,M.M. and AL-Azzawi,A.K.		Moh-C2		Iraq		Nov-2025	blood	Gallus gallus	No	1	No	No	NA-NA		0-362	1.0	NA-NA		Gallus gallus	Gallus gallus	Gallus	Phasianidae	Galliformes	Aves	Chordata	Metazoa	NA	NA
PZ281946	PZ281946	PZ281946.1	Chicken astrovirus strain Moh-C1 polymerase (ORF1b) gene, partial cds	19-MAY-2026	Chicken astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus		Astroviridae	362	Serological and molecular detection of Astrovirus infection in broiler chickens in Diyala Governorate	Wahhab,M.M. and AL-Azzawi,A.K.		Moh-C1		Iraq		Nov-2025	blood	Gallus gallus	No	1	No	No	NA-NA		0-362	1.0	NA-NA		Gallus gallus	Gallus gallus	Gallus	Phasianidae	Galliformes	Aves	Chordata	Metazoa	NA	NA
LC930686	LC930686	LC930686.1	Human astrovirus 4 HAstV4 RNA, complete genome	14-MAY-2026	Human astrovirus 4	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis	Mamastrovirus hominis	Astroviridae	6720	Neonatal Fc receptor is a functional receptor for classical human astrovirus	Haga,K., Tokui,T., Miyamoto,K., Takai-Todaka,R., Kudo,S., Ishikawa,A., Ishiyama,R., Kato,A., Yokoyama,M., Katayama,K. and Nakanishi,A.	39266307		HAstV4	Japan: Ehime		1993		Homo sapiens	No	3	No	No	81-2844	1.0	2783-4331	1.0	4323-6639	1.0	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa	NA	NA
PZ019026	PZ019026	PZ019026.1	Human astrovirus isolate 1192 serine protease gene, partial cds	11-MAY-2026	Human astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	503	Gastrointestinal pathogens in paediatric patients with diarrhoea during the COVID-19 pandemic in Spain: a multicentre molecular-based prospective study	Dashti,A., Hernandez-Castro,C., Yuan,Y., Balasegaram,S., Koster,P.C., Bailo,B., Remacha,M.A., Martinez-Ruiz,R., Nogueira,B., Ramirez de Arellano,E., Lopez,A., Llorente,M.T., Castro-Companioni,L., Garcia-Ibanez,N., Fernandez-Garcia,M.D., Carmena,D. and Sanchez,S.			1192	Spain		2021	feces	Homo sapiens	No	1	No	No	2-503	1.0	NA-NA		NA-NA		Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa	NA	NA
PZ019025	PZ019025	PZ019025.1	Human astrovirus 1 isolate 1201 serine protease gene, partial cds	11-MAY-2026	Human astrovirus 1	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis	Mamastrovirus hominis	Astroviridae	501	Gastrointestinal pathogens in paediatric patients with diarrhoea during the COVID-19 pandemic in Spain: a multicentre molecular-based prospective study	Dashti,A., Hernandez-Castro,C., Yuan,Y., Balasegaram,S., Koster,P.C., Bailo,B., Remacha,M.A., Martinez-Ruiz,R., Nogueira,B., Ramirez de Arellano,E., Lopez,A., Llorente,M.T., Castro-Companioni,L., Garcia-Ibanez,N., Fernandez-Garcia,M.D., Carmena,D. and Sanchez,S.			1201	Spain		2021	feces	Homo sapiens	No	1	No	No	2-501	1.0	NA-NA		NA-NA		Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa	NA	NA
LC918465	LC918465	LC918465.1	Chicken astrovirus CAstV/Chicken/JP/WG-5/89 genomic RNA, complete genome	29-APR-2026	Chicken astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus		Astroviridae	7503	The enteric virus associated with baby chick nephropathy in Japan was genetically identified as chicken astrovirus, not avian nephritis virus	Mase,M., Hiramatsu,K., Watanabe,S. and Tanikawa,T.	41730639		CAstV/Chicken/JP/WG-5/89	Japan		1989	kidney	Gallus gallus	No	3	No	No	21-3441	1.0	3422-4982	1.0	5006-7223	1.0	Gallus gallus	Gallus gallus	Gallus	Phasianidae	Galliformes	Aves	Chordata	Metazoa	NA	NA
PX910922	PX910922	PX910922.1	UNVERIFIED: Goose astrovirus isolate GAstV-1 FJZZ01-2022 sequence	14-APR-2026	Goose astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus		Astroviridae	7291	Direct Submission	Liu,R., Zhao,L. and Huang,Y.			GAstV-1 FJZZ01-2022	China		2022		lion head goose	No	0	No	Yes							Anser cygnoides	Anser cygnoides	Anser	Anatidae	Anseriformes	Aves	Chordata	Metazoa	NA	NA
PX906847	PX906847	PX906847.1	Human astrovirus 1 strain HAstV-1/1911-ZG/2024 RdRp gene, partial cds	12-APR-2026	Human astrovirus 1	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis	Mamastrovirus hominis	Astroviridae	306	Direct Submission	Kunic,V., Brnic,D. and Kostanic,V.		HAstV-1/1911-ZG/2024		Croatia		2024	feces	Homo sapiens	No	1	No	No	NA-NA		0-306	1.0	NA-NA		Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa	NA	NA
PX876879	PX876879	PX876879.1	Duck astrovirus isolate AX11 non-structural polyprotein gene, complete cds; RdRp gene, partial cds; and capsid protein gene, complete cds	07-APR-2026	Duck astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus;Avastrovirus intestini	Avastrovirus intestini	Astroviridae	7466	Direct Submission	Mu,Y., Wang,X., Liu,J. and Chen,L.			AX11	China: Baoding		2025-05-06		Ducklings	No	3	No	No	7-3433	1.0	3423-4974	1.0	4994-7232	1.0	Anas platyrhynchos	Anas platyrhynchos	Anas	Anatidae	Anseriformes	Aves	Chordata	Metazoa	NA	NA
