,Version,GenBank title,Release date,Organism name,Virus Lineage,Species,Family,Length,Submitters,Strain,Isolate,Geo location,Country,Collection date,Tissue/Specimen/Source,Host,Environmental,CDS count
PX395421,PX395421.1,"Chicken astrovirus strain CAst/Bayern/2024 isolate Contig-8 RNA polymerase gene, partial cds",05-OCT-2025,Chicken astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,NA,Astroviridae,291,"Moharam,I., El-Mayet,F.S., Najar,F.Z., Bruggemann,J., Schmitt,F., Schade,B. and Bohm,B.",CAst/Bayern/2024,Contig-8,Germany: Bavaria,NA,Feb-2024,cecal tonsils,chicken (broiler),No,1
PX395420,PX395420.1,"Chicken astrovirus strain CAst/Bayern/2024 isolate Contig-7 RNA polymerase gene, partial cds",05-OCT-2025,Chicken astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,NA,Astroviridae,283,"Moharam,I., El-Mayet,F.S., Najar,F.Z., Bruggemann,J., Schmitt,F., Schade,B. and Bohm,B.",CAst/Bayern/2024,Contig-7,Germany: Bavaria,NA,Feb-2024,cecal tonsils,chicken (broiler),No,1
PX395419,PX395419.1,"Chicken astrovirus strain CAst/Bayern/2024 isolate Contig-6 RNA polymerase gene, partial cds",05-OCT-2025,Chicken astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,NA,Astroviridae,238,"Moharam,I., El-Mayet,F.S., Najar,F.Z., Bruggemann,J., Schmitt,F., Schade,B. and Bohm,B.",CAst/Bayern/2024,Contig-6,Germany: Bavaria,NA,Feb-2024,cecal tonsils,chicken (broiler),No,1
PX395418,PX395418.1,"Chicken astrovirus strain CAst/Bayern/2024 isolate Contig-5 RNA polymerase and capsid precursor protein genes, partial cds",05-OCT-2025,Chicken astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,NA,Astroviridae,189,"Moharam,I., El-Mayet,F.S., Najar,F.Z., Bruggemann,J., Schmitt,F., Schade,B. and Bohm,B.",CAst/Bayern/2024,Contig-5,Germany: Bavaria,NA,Feb-2024,cecal tonsils,chicken (broiler),No,2
PX395417,PX395417.1,"Chicken astrovirus strain CAst/Bayern/2024 isolate Contig-3 capsid precursor protein gene, partial cds",05-OCT-2025,Chicken astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,NA,Astroviridae,152,"Moharam,I., El-Mayet,F.S., Najar,F.Z., Bruggemann,J., Schmitt,F., Schade,B. and Bohm,B.",CAst/Bayern/2024,Contig-3,Germany: Bavaria,NA,Feb-2024,cecal tonsils,chicken (broiler),No,1
PX395416,PX395416.1,"Chicken astrovirus strain CAst/Bayern/2024 isolate Contig-2 capsid precursor protein gene, partial cds",05-OCT-2025,Chicken astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,NA,Astroviridae,122,"Moharam,I., El-Mayet,F.S., Najar,F.Z., Bruggemann,J., Schmitt,F., Schade,B. and Bohm,B.",CAst/Bayern/2024,Contig-2,Germany: Bavaria,NA,Feb-2024,cecal tonsils,chicken (broiler),No,1
PX395415,PX395415.1,"Chicken astrovirus strain CAst/Bayern/2024 isolate Contig-1 capsid precursor protein gene, partial cds",05-OCT-2025,Chicken astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,NA,Astroviridae,233,"Moharam,I., El-Mayet,F.S., Najar,F.Z., Bruggemann,J., Schmitt,F., Schade,B. and Bohm,B.",CAst/Bayern/2024,Contig-1,Germany: Bavaria,NA,Feb-2024,cecal tonsils,chicken (broiler),No,1
PX378139,PX378139.1,"Astrovirus MLB2 isolate CMH-SS032-24/THA RNA-dependent RNA polymerase and capsid protein genes, partial cds",30-SEP-2025,Astrovirus MLB2,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,859,"Kumthip,K., Khamrin,P. and Maneekarn,N.",NA,CMH-SS032-24/THA,Thailand,NA,13-Mar-2024,stool,Homo sapiens,No,2
PX378138,PX378138.1,"Astrovirus MLB2 isolate CMH-SS021-23/THA RNA-dependent RNA polymerase and capsid protein genes, partial cds",30-SEP-2025,Astrovirus MLB2,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,859,"Kumthip,K., Khamrin,P. and Maneekarn,N.",NA,CMH-SS021-23/THA,Thailand,NA,15-Feb-2023,stool,Homo sapiens,No,2
PX378137,PX378137.1,"Astrovirus MLB1 isolate CMH-ST070-23/THA RNA-dependent RNA polymerase and capsid protein genes, partial cds",30-SEP-2025,Astrovirus MLB1,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus melbournense,Mamastrovirus melbournense,Astroviridae,859,"Kumthip,K., Khamrin,P. and Maneekarn,N.",NA,CMH-ST070-23/THA,Thailand,NA,03-Aug-2023,stool,Homo sapiens,No,2
PX378136,PX378136.1,"Human astrovirus 5 isolate CMH-SS007-23/THA RNA-dependent RNA polymerase and capsid protein genes, partial cds",30-SEP-2025,Human astrovirus 5,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis,Mamastrovirus hominis,Astroviridae,676,"Kumthip,K., Khamrin,P. and Maneekarn,N.",NA,CMH-SS007-23/THA,Thailand,NA,15-Feb-2023,stool,Homo sapiens,No,2
PX378135,PX378135.1,"Human astrovirus 4 isolate CMH-SS042-24/THA RNA-dependent RNA polymerase and capsid protein genes, partial cds",30-SEP-2025,Human astrovirus 4,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis,Mamastrovirus hominis,Astroviridae,676,"Kumthip,K., Khamrin,P. and Maneekarn,N.",NA,CMH-SS042-24/THA,Thailand,NA,12-Apr-2024,stool,Homo sapiens,No,2
PX378134,PX378134.1,"Human astrovirus 4 isolate CMH-ST023-24/THA RNA-dependent RNA polymerase and capsid protein genes, partial cds",30-SEP-2025,Human astrovirus 4,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis,Mamastrovirus hominis,Astroviridae,676,"Kumthip,K., Khamrin,P. and Maneekarn,N.",NA,CMH-ST023-24/THA,Thailand,NA,03-Mar-2024,stool,Homo sapiens,No,2
PX378133,PX378133.1,"Human astrovirus 2 isolate CMH-ST098-24/THA RNA-dependent RNA polymerase and capsid protein genes, partial cds",30-SEP-2025,Human astrovirus 2,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis,Mamastrovirus hominis,Astroviridae,676,"Kumthip,K., Khamrin,P. and Maneekarn,N.",NA,CMH-ST098-24/THA,Thailand,NA,02-Sep-2024,stool,Homo sapiens,No,2
PX378132,PX378132.1,"Human astrovirus 1 isolate CMH-ST011-23/THA RNA-dependent RNA polymerase and capsid protein genes, partial cds",30-SEP-2025,Human astrovirus 1,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis,Mamastrovirus hominis,Astroviridae,676,"Kumthip,K., Khamrin,P. and Maneekarn,N.",NA,CMH-ST011-23/THA,Thailand,NA,03-Feb-2023,stool,Homo sapiens,No,2
PX378131,PX378131.1,"Human astrovirus 1 isolate CMH-SS027-23/THA RNA-dependent RNA polymerase and capsid protein genes, partial cds",30-SEP-2025,Human astrovirus 1,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis,Mamastrovirus hominis,Astroviridae,649,"Kumthip,K., Khamrin,P. and Maneekarn,N.",NA,CMH-SS027-23/THA,Thailand,NA,21-Feb-2023,stool,Homo sapiens,No,2
PV211181,PV211181.1,"Human astrovirus 1 isolate Human/BRAZIL/LVCA33693/2022/HAstV-1 capsid protein gene, partial cds",30-SEP-2025,Human astrovirus 1,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis,Mamastrovirus hominis,Astroviridae,420,"Burlandy,F.M. and Santos,I.",NA,Human/BRAZIL/LVCA33693/2022/HAstV-1,Brazil,NA,18-Mar-2022,stool,Homo sapiens,No,1
PV211180,PV211180.1,"Human astrovirus 1 isolate Human/BRAZIL/LVCA33682/2022/HAstV-1 capsid protein gene, partial cds",30-SEP-2025,Human astrovirus 1,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis,Mamastrovirus hominis,Astroviridae,420,"Burlandy,F.M. and Santos,I.",NA,Human/BRAZIL/LVCA33682/2022/HAstV-1,Brazil,NA,25-Mar-2022,stool,Homo sapiens,No,1
PV211179,PV211179.1,"Human astrovirus 1 isolate Human/BRAZIL/LVCA33664/2022/HAstV-1 capsid protein gene, partial cds",30-SEP-2025,Human astrovirus 1,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis,Mamastrovirus hominis,Astroviridae,424,"Burlandy,F.M. and Santos,I.",NA,Human/BRAZIL/LVCA33664/2022/HAstV-1,Brazil,NA,31-Mar-2022,stool,Homo sapiens,No,1
PV211178,PV211178.1,"Human astrovirus 1 isolate Human/BRAZIL/LVCA33659/2022/HAstV-1 capsid protein gene, partial cds",30-SEP-2025,Human astrovirus 1,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis,Mamastrovirus hominis,Astroviridae,442,"Burlandy,F.M. and Santos,I.",NA,Human/BRAZIL/LVCA33659/2022/HAstV-1,Brazil,NA,31-Mar-2022,stool,Homo sapiens,No,1
PV211177,PV211177.1,"Human astrovirus 1 isolate Human/BRAZIL/LVCA33633/2022/HAstV-1 capsid protein gene, partial cds",30-SEP-2025,Human astrovirus 1,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis,Mamastrovirus hominis,Astroviridae,423,"Burlandy,F.M. and Santos,I.",NA,Human/BRAZIL/LVCA33633/2022/HAstV-1,Brazil,NA,21-Mar-2022,stool,Homo sapiens,No,1
PV211176,PV211176.1,"Human astrovirus 1 isolate Human/BRAZIL/LVCA33601/2022/HAstV-1 capsid protein gene, partial cds",30-SEP-2025,Human astrovirus 1,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis,Mamastrovirus hominis,Astroviridae,422,"Burlandy,F.M. and Santos,I.",NA,Human/BRAZIL/LVCA33601/2022/HAstV-1,Brazil,NA,24-Feb-2022,stool,Homo sapiens,No,1
PX236818,PX236818.1,"Possum astrovirus isolate M23 ORF1a protein, ORF1b protein, and ORF2 protein genes, complete cds",24-SEP-2025,Possum astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,6363,"French,R.K.",NA,M23,New Zealand,NA,2021,kidney/liver,Trichosurus vulpecula,No,3
PX236817,PX236817.1,"Possum astrovirus isolate M22 ORF1a protein and ORF1b protein genes, complete cds; and ORF2 protein gene, partial cds",24-SEP-2025,Possum astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,5446,"French,R.K.",NA,M22,New Zealand,NA,2021,kidney/liver,Trichosurus vulpecula,No,3
PX255451,PX255451.1,"Human astrovirus isolate CHX10SS1 putative serine protease (ORF1a), RNA-dependent RNA polymerase (ORF1b), and capsid precursor protein (ORF2) genes, complete cds",24-SEP-2025,Human astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,6765,"Matambo,E., Kawonga,F., Mhango,C., Chinyama,E., Msowoya,J., Majengo,C., Maseko,S., Shange,N., Baloyi,S., Mogotsi,M.T., Dennis,F.E., Matambo,P., Kamng'ona,A.W., Kumwenda,B., Nyaga,M.M., Donato,C., Chaguza,C. and Jere,K.C.",NA,CHX10SS1,Malawi,NA,23-May-2019,stool,Homo sapiens,No,3
PX255450,PX255450.1,"Human astrovirus isolate CQA104S1 putative serine protease (ORF1a), RNA-dependent RNA polymerase (ORF1b), and capsid precursor protein (ORF2) genes, complete cds",24-SEP-2025,Human astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,6719,"Matambo,E., Kawonga,F., Mhango,C., Chinyama,E., Msowoya,J., Majengo,C., Maseko,S., Shange,N., Baloyi,S., Mogotsi,M.T., Dennis,F.E., Matambo,P., Kamng'ona,A.W., Kumwenda,B., Nyaga,M.M., Donato,C., Chaguza,C. and Jere,K.C.",NA,CQA104S1,Malawi,NA,23-Nov-2022,stool,Homo sapiens,No,3
PX255449,PX255449.1,"Human astrovirus isolate BTY1JJ putative serine protease (ORF1a), RNA-dependent RNA polymerase (ORF1b), and capsid precursor protein (ORF2) genes, complete cds",24-SEP-2025,Human astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,6738,"Matambo,E., Kawonga,F., Mhango,C., Chinyama,E., Msowoya,J., Majengo,C., Maseko,S., Shange,N., Baloyi,S., Mogotsi,M.T., Dennis,F.E., Matambo,P., Kamng'ona,A.W., Kumwenda,B., Nyaga,M.M., Donato,C., Chaguza,C. and Jere,K.C.",NA,BTY1JJ,Malawi,NA,10-Mar-2016,stool,Homo sapiens,No,3
PX255448,PX255448.1,"Human astrovirus isolate BID2K6S1 putative serine protease (ORF1a), RNA-dependent RNA polymerase (ORF1b), and capsid precursor protein (ORF2) genes, complete cds",24-SEP-2025,Human astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,6768,"Matambo,E., Kawonga,F., Mhango,C., Chinyama,E., Msowoya,J., Majengo,C., Maseko,S., Shange,N., Baloyi,S., Mogotsi,M.T., Dennis,F.E., Matambo,P., Kamng'ona,A.W., Kumwenda,B., Nyaga,M.M., Donato,C., Chaguza,C. and Jere,K.C.",NA,BID2K6S1,Malawi,NA,06-Feb-2014,stool,Homo sapiens,No,3
